source	code	creator	date	title	identifier	publisher
http://obvil.github.io/critique2000/tei/1862_collectif.xml	1862_collectif	Académie des sciences, belles-lettres et arts (Clermont-Ferrand)	1862	Mémoires de l'Académie des sciences, belles-lettres et arts de Clermont-Ferrand	http://gallica.bnf.fr/ark:/12148/bpt6k2293089	Académie des sciences, belles-lettres et arts (Clermont-Ferrand)
http://obvil.github.io/critique2000/tei/1891_collectif.xml	1891_collectif	Académie des sciences, belles-lettres, arts et encouragement au bien (Montauban)	1891	Recueil de l'Académie des sciences, belles-lettres et arts de Tarn-et-Garonne	http://gallica.bnf.fr/ark:/12148/bpt6k5698041b	Forestié (Montauban)
http://obvil.github.io/critique2000/tei/1840_collectif.xml	1840_collectif	Académie française	1840	Recueil des discours, rapports et pièces diverses lus dans les séances publiques et particulières de l'Académie française	http://gallica.bnf.fr/ark:/12148/bpt6k299279g	Firmin-Didot frères (Paris)
http://obvil.github.io/critique2000/tei/1863_collectif.xml	1863_collectif	Académie nationale des sciences, arts et belles-lettres (Caen)	1863	Mémoires de l'Académie royale des sciences, arts et belles-lettres de Caen	http://gallica.bnf.fr/ark:/12148/bpt6k54582668	Chalopin fils (Caen)
http://obvil.github.io/critique2000/tei/1881_collectif.xml	1881_collectif	Académie nationale des sciences, arts et belles-lettres (Caen)	1881	Mémoires de l'Académie nationale des sciences, arts et belles-lettres de Caen	http://gallica.bnf.fr/ark:/12148/bpt6k54579226	F. Le Blanc-Hardel (Caen)
http://obvil.github.io/critique2000/tei/1787_acarq.xml	1787_acarq	Açarq, Jean-Pierre d' (1717?-1809)	1787	Remarques sur la Grammaire françoise de M. de Wailly ; suivies de quelques vers tant latins que françois / par M. d'Açarq,...	http://gallica.bnf.fr/ark:/12148/bpt6k61737q	H. F. Boubers (Saint-Omer)
http://obvil.github.io/critique2000/tei/1841_achem.xml	1841_achem	Achem, L.	1841	Théorie-poème en huit leçons. La Boussole du mariage, ou l'Art poétique de Boileau revu et détérioré par un vieux romantique... (Signé : L. Achem.)	http://gallica.bnf.fr/ark:/12148/bpt6k54611394	Charpentier (Paris)
http://obvil.github.io/critique2000/tei/1905_acker_1.xml	1905_acker_1	Acker, Paul (1874-1915)	1905	Petites confessions (visites et portraits). 1e sér. : “Albert Sorel, marquis de Montebello, Maurice Barrès, Marthe Brandès...” / Paul Acker	http://gallica.bnf.fr/ark:/12148/bpt6k99906j	A. Fontemoing (Paris)
http://obvil.github.io/critique2000/tei/1905_acker_2.xml	1905_acker_2	Acker, Paul (1874-1915)	1905	Petites confessions (visites et portraits). 2e sér. : “Puccini, Emile Faguet, Pierre de Nolhac, Charles Dupuy...” / Paul Acker	http://gallica.bnf.fr/ark:/12148/bpt6k99907w	A. Fontemoing (Paris)
http://obvil.github.io/critique2000/tei/1916_adam.xml	1916_adam	Adam, Paul (1862-1920)	1916	La littérature et la guerre / Paul Adam	http://gallica.bnf.fr/ark:/12148/bpt6k6519635r	G. Crès et Cie (Paris)
http://obvil-dev.paris-sorbonne.fr/corpus/critique/aderer_de-la-critique.xml	1864_aderer	Aderer, Adolphe (1832-1886)	1864	De la critique littéraire	http://obvil.paris-sorbonne.fr/corpus/critique/aderer_de-la-critique/	
http://obvil.github.io/critique2000/tei/1817_aillaud.xml	1817_aillaud	Aillaud, Pierre-Toussaint (1759-1827)	1817	J.-Jacques Rousseau dévoilé, ou Réfutation de son “Discours” contre les sciences et les lettres / par M. l'abbé Aillaud,...	http://gallica.bnf.fr/ark:/12148/bpt6k61803p	impr. de P. Crosilhes (Montauban)
