Auteur	Total De Tokens	Occurrences du Mot	Fréquence Relative	Date	Titre	
Académie des sciences, belles-lettres et arts (Clermont-Ferrand)	262568	1	3	1862	Mémoires de l'Académie des sciences, belles-lettres et arts de Clermont-Ferrand	
Académie des sciences, belles-lettres, arts et encouragement au bien (Montauban)	212879	0	0	1891	Recueil de l'Académie des sciences, belles-lettres et arts de Tarn-et-Garonne	
Académie française	170974	10	58	1840	Recueil des discours, rapports et pièces diverses lus dans les séances publiques et particulières de l'Académie française	
Académie nationale des sciences, arts et belles-lettres (Caen)	252130	5	19	1863	Mémoires de l'Académie royale des sciences, arts et belles-lettres de Caen	
Académie nationale des sciences, arts et belles-lettres (Caen)	232293	2	8	1881	Mémoires de l'Académie nationale des sciences, arts et belles-lettres de Caen	
Açarq, Jean-Pierre d' (1717?-1809)	23009	0	0	1787	Remarques sur la Grammaire françoise de M. de Wailly ; suivies de quelques vers tant latins que françois / par M. d'Açarq,...	
Achem, L.	19671	0	0	1841	Théorie-poème en huit leçons. La Boussole du mariage, ou l'Art poétique de Boileau revu et détérioré par un vieux romantique... (Signé : L. Achem.)	
Acker, Paul (1874-1915)	225466	6	26	1905	Petites confessions (visites et portraits). 1e sér. : “Albert Sorel, marquis de Montebello, Maurice Barrès, Marthe Brandès...” / Paul Acker	
Acker, Paul (1874-1915)	91492	4	43	1905	Petites confessions (visites et portraits). 2e sér. : “Puccini, Emile Faguet, Pierre de Nolhac, Charles Dupuy...” / Paul Acker	
Adam, Paul (1862-1920)	43107	14	324	1916	La littérature et la guerre / Paul Adam	
Aderer, Adolphe (1832-1886)	27470	4	145	1864	De la critique littéraire	
Aillaud, Pierre-Toussaint (1759-1827)	20692	1	48	1817	J.-Jacques Rousseau dévoilé, ou Réfutation de son “Discours” contre les sciences et les lettres / par M. l'abbé Aillaud,...	
Albalat, Antoine (1856-1935)	86963	4	45	1884	L'Amour chez Alphonse Daudet : essai / Antoine Albalat	
Albalat, Antoine (1856-1935)	502497	153	304	1895	Le mal d’écrire et le roman contemporain	
Albalat, Antoine (1856-1935)	235207	20	85	1899	Art d'écrire enseigné en vingt leçons. (15 janvier 1899.)	
Albalat, Antoine (1856-1935)	481491	67	139	1902	La formation du style par l’assimilation des auteurs	
Albalat, Antoine (1856-1935)	262472	29	110	1905	Les ennemis de l’art d’écrire	
Albalat, Antoine (1856-1935)	236037	23	97	1921	Comment il ne faut pas écrire : les ravages du style contemporain / Antoine Albalat	
Albalat, Antoine (1856-1935)	437347	46	105	1924	Souvenirs de la vie littéraire : Nouvelle édition augmentée d’une préface-réponse.	
Albalat, Antoine (1856-1935)	400474	71	177	1925	Comment on devient écrivain	
Albalat, Antoine (1856-1935)	99491	6	60	1927	Gustave Flaubert et ses amis : avec des lettres inédites de Gustave Flaubert, Louis Bouilhet, Théophile Gautier, Champfleury, E. Feydeau, Philoxène Boyer, Auguste Vacquerie, Offenbach, E. J. Goncourt, Sainte-Beuve, Michelet, Victor Hugo, Taine, Leconte de Lisle, Villiers de l'Isle Adam, Eugène Fromentin, Banville, Maupassant, Jules Lemaître, J. M. de Hérédia, etc. / Antoine Albalat	
Albalat, Antoine (1856-1935)	197574	13	65	1927	Le travail du style enseigné par les corrections manuscrites des grands écrivains (12e édition) / Antoine Albalat	
Albalat, Antoine (1856-1935)	85935	19	221	1929	L'art poétique de Boileau / Antoine Albalat	
Albalat, Antoine (1856-1935)	76791	1	13	1933	“La vie de Jésus” d'Ernest Renan / Antoine Albalat	
Albert, Maurice (1854-1907)	140805	25	177	1891	La Littérature française sous la Révolution, l'Empire et la Restauration (1789-1830), par Maurice Albert,... 3e édition	
Albert, Paul (1827-1880)	91653	4	43	1871	Histoire de la littérature romaine. Tome 1 / par Paul Albert,...	
Albert, Paul (1827-1880)	76086	6	78	1871	Histoire de la littérature romaine. Tome 2 / par Paul Albert,...	
Albert, Paul (1827-1880)	124362	15	120	1874	La Littérature française au dix-huitième siècle, par Paul Albert,...	
Albert, Paul (1827-1880)	108747	4	36	1874	La Prose. Études sur les chefs-d'oeuvre des prosateurs de tous les temps et de tous les pays, par Paul Albert,... 2e édition	
Albert, Paul (1827-1880)	128890	10	77	1899	La poésie : études sur les chefs d'oeuvre des poètes de tous les temps et de tous les pays (10e édition) / par Paul Albert	
Albert, Paul (1827-1880)	128225	18	140	1901	La Littérature française au dix-septième siècle, par Paul Albert. 10e édition	
Alciator, Bernard (1810-1884)	39378	0	0	1876	L'art dans la poésie, poème en trois chants. [Précédé de] Observations critiques [sur le poème : “L'art de la poésie”] (4e éd. rev., augm. et précédée d'appréciations des meilleurs écrivains) / par B. Alciator ; par M. Beaumarchey,...	
Alfred Vallette	162643	7	43	1902	Mercure de France : série moderne / directeur Alfred Vallette	
Alméras, Henri d' (1861-1938)	166028	3	18	1906	Le marquis de Sade : l'homme et l'écrivain, d'après des documents inédits, avec une bibliographie de ses oeuvres / Henri d'Almeras	
Alméras, Henri d' (1861-1938)	127969	2	15	1928	Le Tartuffe de Molière : Édition originale / Henri d'Alméras.	
Amar Du Rivier, Jean-Augustin (1765-1837)	634520	0	0	1829	Les rhéteurs latins, ou Analyse raisonnée des ouvrages de Cicéron, de Quintilien et de Tacite, sur l'art oratoire ,... par J.-A. Amar,...	
Ampère, Jean-Jacques (1800-1864)	10720	9	839	1836	Sténographie des cours de diverses facultés de Paris. , Cours de littérature / M. Ampère fils,...	
Ampère, Jean-Jacques (1800-1864)	68610	2	29	1848	Ballanche / par J.-J. Ampère,...	
Ampère, Jean-Jacques (1800-1864)	207498	32	154	1850	Littérature, voyages et poésies / par J.-J. Ampère,...	
Ampère, Jean-Jacques (1800-1864)	61558	0	0	1853	Poésies populaires de la France : instructions du Comité de la langue, de l'histoire et des arts de la France / [par Jean-Jacques Ampère]	
Ampère, Jean-Jacques (1800-1864)	277145	0	0	1862	L'histoire romaine à Rome. Tome 1 / par J.-J. Ampère,...	
Ampère, Jean-Jacques (1800-1864)	261037	0	0	1862	L'histoire romaine à Rome. Tome 2 / par J.-J. Ampère,...	
Ampère, Jean-Jacques (1800-1864)	267511	2	7	1862	L'histoire romaine à Rome. Tome 3 / par J.-J. Ampère,...	
Ampère, Jean-Jacques (1800-1864)	229437	2	8	1862	L'histoire romaine à Rome. Tome 4 / par J.-J. Ampère,...	
Ampère, Jean-Jacques (1800-1864)	175227	63	359	1867	Mélanges d'histoire littéraire et de littérature. Tome 1 / par J.-J. Ampère,... ; [publiés par Louis de Loménie]	
Ampère, Jean-Jacques (1800-1864)	191845	13	67	1867	Mélanges d'histoire littéraire et de littérature. Tome 2 / par J.-J. Ampère,... ; [publiés par Louis de Loménie]	
Ampère, Jean-Jacques (1800-1864)	158937	7	44	1867	La science et les lettres en Orient (2e éd.) / par J.-J. Ampère,... ; avec une préface par M. Barthélemy Saint-Hilaire ; (publié par Ch. Daremberg)	
Ampère, Jean-Jacques (1800-1864)	205777	59	286	1870	Histoire littéraire de la France avant Charlemagne. Edition 3 / par J.-J. Ampère,... ; (publ. par Ch. Daremberg ; avec une étude sur J.-J. Ampère par Albert de Broglie)	
Ampère, Jean-Jacques (1800-1864)	158611	19	119	1870	Histoire littéraire de la France avant Charlemagne. Edition 3,Tome 2 / par J.-J. Ampère,... ; (publ. par Ch. Daremberg ; avec une étude sur J.-J. Ampère par Albert de Broglie)	
Andrieu, Jules (1839-1895)	45900	3	65	1895	Excentriques et grotesques littéraires de l'Agenais / par Jules Andrieu,...	
Angebert, Caroline (1793-1880)	8379	1	119	1851	Hégésippe Moreau . (Signé : C. Angebert.)	
Angellier, Auguste (1848-1911)	50974	0	0	1879	Étude sur Henri Regnault / par A. Angellier,...	
Anglade, Joseph (1868-1930)	120167	7	58	1929	Les troubadours et les Bretons / par Joseph Anglade,...	
Anglès	72164	1	13	1817	Almanach critique et littéraire de Paris	
Anonyme	11532	0	0	1760	La vengeance de Thalie : poëme critique de la pièce des “philosophes”	
Anonyme	19150	0	0	1815	Examen critique des débuts qui ont eu lieu cette année au théâtre-français	
Anonyme	12427	0	0	1821	Coup d'oeil sur les théâtres de Paris	
Anonyme	10994	1	90	1826	Dialogue sur le Charles VI de M. Népomucène Lemercier, et celui de M. de La Ville de Mirmont. Par Ch.-P.	
Anonyme	8564	0	0	1829	L'Echo du canon d'alarme de M. Baour-Lormian ou Epitre à quelques [...], par M	
