Auteur	Total De Tokens	Occurrences du Mot	Fréquence Relative	Date	Titre	
Pontmartin, Armand de (1811-1890)	1350740	3	2.2210047E-6	1855	Nouvelles études historiques et littéraires / par Cuvillier-Fleury // Louis David, son école et son temps : souvenirs // Études littéraires et biographiques. Jacques Amyot, Mme de Staël, Saint-Simon / par Charles Des Guerrois // Le Président Bouhier, sa vie, ses ouvrages et sa bibliothèque ; par Charles Des Guerrois // Pensées de l'art et de la vie, par Charles Des Guerrois // Préface des Chants modernes // Étude sur Bayle / par C. Lenient,... // Nouvelles causeries littéraires / par Armand de Pontmartin	
Pontmartin, Armand de (1811-1890)	2623241	24	9.148988E-6	1854	Préface à Antoine Furetière, Le Roman bourgeois // Voyages et voyageurs, 1837-1854 / par Cuvillier-Fleury // Marie-Nicolas Des Guerrois, sa vie et ses ouvrages / par Charles Des Guerrois // Dante et les origines de la langue et de la littérature italiennes, cours fait à la Faculté des lettres de Paris, par M. Fauriel... [Publié par Jules Mohl.]. Tome 1 // Dante et les origines de la langue et de la littérature italiennes, cours fait à la Faculté des lettres de Paris, par M. Fauriel... [Publié par Jules Mohl.]. Tome 2 // Nouvelle biographie générale : depuis les temps les plus reculés jusqu'à nos jours.... XLVI. Verne-Zyll / publiée par MM. Firmin-Didot frères, sous la direction de M. le Dr. Hoefer // Éloge de Jacques Delille : lu à l'Académie française le 8 septembre 1854 / par M. Ch. de Lacretelle,... // Aveux d'un pamphlétaire // Rétif de la Bretonne. Sa vie et ses amours ; documents inédits... ses descendants ; catalogue complet de ses ouvrages... par Charles Monselet... // Histoire de la littérature française [I] // Nouveaux portraits littéraires... / Gustave Planche // Causeries littéraires	
Dubos, Jean-Baptiste (1670-1742)	1580368	0	0.0	1733	Réflexions critiques sur la poésie et la peinture	
Nettement, Alfred (1805-1869)	3460237	35	1.0114914E-5	1853	Poésies populaires de la France : instructions du Comité de la langue, de l'histoire et des arts de la France / [par Jean-Jacques Ampère] // De l'Amadis de Gaule et de son influence sur les moeurs et sur la littérature au XVIe et au XVIIe siècle : avec une notice bibliographique / par Eugène Baret // Étude historique et littéraire sur le Rig-Vêda / par M. Édélestand Du Méril // Abailard et Héloïse, essai historique. Suivi des Lettres d'Abailard et d'Héloïse (Nouvelle édition entièrement refondue) / par M. et Mme Guizot ; traduites sur les manuscrits de la Bibliothèque royale par M. Oddoul,... // Étude sur le Roman de la Rose, par M. P. Huot,... et Rapport par M. Mauge Du Bois-des-Entes,... publiés par la Société archéologique de l'Orléanais // Histoire de la littérature dramatique (II) // Histoire de la littérature dramatique. Tome 1 / par M. Jules Janin // Histoire de la littérature dramatique. Tome 3 / par M. Jules Janin // Histoire de la littérature dramatique. Tome 4 / par M. Jules Janin // Histoire de la littérature dramatique. Tome 5 / par M. Jules Janin // Histoire de la littérature dramatique. Tome 6 / par M. Jules Janin // Coups de plume sincères : littérature et politique / par Paulin Limayrac // Essai sur la langue de La Fontaine, par Ch. Marty-Laveaux // Propos de ville et propos de théâtre // Histoire de la littérature française sous la Restauration [I]	
Sainte-Beuve, Charles-Augustin (1804-1869)	2030160	10	4.92572E-6	1852	Études sur W. Shakspeare, Marie Stuart et l'Arétin : Le drame, les moeurs et la religion au XVIe siècle / par M. Philarète Chasles,... // Notice sur les causes de la décadence du théâtre en province et des moyens de le régénérer / par M. D....., ancien directeur et artiste // Encore une bonne aubaine littéraire, par M. Jules Deligne, causerie sur un nouveau recueil de fables récemment imprimé à Lille // De l'Art en Italie : Dante Alighieri et la Divine Comédie / par le baron Paul Drouilhet de Sigalas // Essai sur les théories dramatiques de Corneille, d'après ses discours et ses examens, thèse pour le doctorat, présentée à la Faculté des lettres de Paris, par J.-A. Lisle,... // Statues et statuettes contemporaines / par Charles Monselet // Critique du Juif-errant : Roqueplan embêté par Jules Janin // Derniers portraits littéraires	
Riocreux, Denis-Désiré	432337	4	9.252042E-6	1851	Hégésippe Moreau . (Signé : C. Angebert.) // Essai d'une théorie du style / par M. Edmond Arnould,... // Le Moyen-âge et la Renaissance. Tome IV : histoire et description des moeurs et usages, du commerce et de l'industrie, des sciences, des arts, des littératures et des beaux-arts en Europe / Direction littéraire de M. Paul Lacroix ; Direction artistique de M. Ferdinand Seré...	
La Motte, Antoine Houdar de (1672-1731)	613880	0	0.0	1730	Traité des tropes // Discours sur la tragédie	
Lévi Alvarès, David (1794-1870)	643510	19	2.952557E-5	1850	Littérature, voyages et poésies / par J.-J. Ampère,... // La Vérité-Rachel : examen du talent de la première tragédienne du théâtre français... / par Charles Maurice // Esquisses littéraires, précis méthodique de l'histoire ancienne et moderne des littératures européennes et orientales... par D. Lévi Alvarès,... 5e édition	
Voltaire (1694-1778)	97711	0	0.0	1739	Vie de Molière	
Vinet, Alexandre (1797-1847)	4064136	14	3.4447667E-6	1859	Ménage : sa vie et ses écrits / par Eugène Baret,... // Théophile Gautier / par Charles Baudelaire ; notice littéraire précédée d'une lettre de Victor Hugo // Philosophie et politique de Béranger / par Paul Boiteau,... // François Villon, sa vie et ses oeuvres / par Antoine Campaux,... // Oeuvres nouvelles de Champfleury. Les amis de la nature / avec un frontispice d'après un dessin de Gustave Courbet ; et précédés d'une caractéristique des oeuvres de l'auteur par Edmond Duranty // Le Théâtre-Français, monument et dépendances, par Charles Maurice, abonné depuis deux mille quatre cents ans // Histoire de la littérature française pendant la Révolution, 1789-1800 / par E. Géruzez // Critique : portraits et caractères contemporains // Académie des jeux floraux. Concours de 1859. Discours qui a obtenu une violette, par M. Achille Janot,... [Question proposée par l'Académie : D'où vient que de nos jours la haute comédie a disparu de la scène pour céder la place à des compositions dramatiques où la morale n'est pas moins offensée que l'art ?] // Cours familier de littérature [VII] // Cours familier de littérature [VIII] // Les chansons de geste, poèmes du XIIe et du XIIIe siècle : discours d'ouverture du cours de langue et de littérature du moyen âge, prononcé le 6 décembre 1858,... / par Paulin Paris,... // Essais sur le génie de Pindare et sur la poésie lyrique // Moralistes des seizième et dix-septième siècles	
