LEMMA,POS,FLAGS,ENTRY,OBSERVED_FORMS,GENERATED_FORMS,SOURCE_POS,PAST_PARTICIPLE_OF,EXACT_FLAG_ALTERNATIVES,REASON,NEAREST_FLAGS,NEAREST_GENERATED_FORMS
abeillerole,NOUN,S.,abeillerole/S. po:NOUN,abeillerole | abeilleroles,abeillerole | abeilleroles,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
abéquer,VERB,,,abèque | abèquent | abèquera | abèquerai | abèqueraient | abèquerais | abèquerait | abèqueras | abèquerez | abèqueriez | abèquerions | abèquerons | abèqueront | abèques | abéqua | abéquai | abéquaient | abéquais | abéquait | abéquant | abéquas | abéquasse | abéquassent | abéquasses | abéquassiez | abéquassions | abéquer | abéquera | abéquerai | abéqueraient | abéquerais | abéquerait | abéqueras | abéquerez | abéqueriez | abéquerions | abéquerons | abéqueront | abéquez | abéquiez | abéquions | abéquons | abéquâmes | abéquât | abéquâtes | abéquèrent | abéqué | abéquée | abéquées | abéqués,,VERB VERBpartpast VERBpartpres,,,NO_EXACT_AFFIX_PARADIGM,c0p+ c0p. a0p+ a0p. a6p+,c0p+: abèque | abèquent | abèques | abéqua | abéquai | abéquaient | abéquais | abéquait | abéquant | abéquas | abéquasse | abéquassent | … (39 total) || c0p.: abèque | abèquent | abèques | abéqua | abéquai | abéquaient | abéquais | abéquait | abéquant | abéquas | abéquasse | abéquassent | … (36 total) || a0p+: abéqua | abéquai | abéquaient | abéquais | abéquait | abéquant | abéquas | abéquasse | abéquassent | abéquasses | abéquassiez | abéquassions | … (39 total) || a0p.: abéqua | abéquai | abéquaient | abéquais | abéquait | abéquant | abéquas | abéquasse | abéquassent | abéquasses | abéquassiez | abéquassions | … (36 total) || a6p+: abéqua | abéquaient | abéquait | abéquant | abéquassent | abéquassiez | abéquassions | abéque | abéquent | abéquer | abéquera | abéqueraient | … (30 total)
absous,ADJ,,absous po:ADJ,absous,absous,ADJ,absoudre, S. W. Fc Fs X. Fx Wx S= Fe tA a0p+,SINGLE_FORM_UNDERDETERMINED,,
achars,NOUN,,achars po:NOUN,achars,achars,NOUN,, S. Fs Fc X. W. I. S= Fe Wx Fx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
acuponcteur,NOUN,Fc,acuponcteur/Fc po:NOUN,acuponcteur | acuponcteurs | acuponctrice | acuponctrices,acuponcteur | acuponcteurs | acuponctrice | acuponctrices,NOUN,,Fc,NOUN_HELD_FOR_REVIEW,,
acuponcture,NOUN,S.,acuponcture/S. po:NOUN,acuponcture | acuponctures,acuponcture | acuponctures,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
afrikans,NOUN,,afrikans po:NOUN,afrikans,afrikans,NOUN,, S. Fs Fc X. W. I. S= Fe Wx Fx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
afrikans,ADJ,,afrikans po:ADJ,afrikans,afrikans,ADJ,, S. W. Fc Fs X. Fx Wx S= Fe I. tA a0p+,SINGLE_FORM_UNDERDETERMINED,,
aga,NOUN,S.,aga/S. po:NOUN,aga | agas,aga | agas,NOUN,,S. F. F+ A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
aiche,NOUN,S.,aiche/S. po:NOUN,aiche | aiches,aiche | aiches,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
alène,NOUN,S.,alène/S. po:NOUN,alène | alènes,alène | alènes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
allegretto,NOUN,,,allegrettos,,NOUN,,,NO_EXACT_AFFIX_PARADIGM,S. F. F+ A. S=,S.: allegretto | allegrettos || F.: allegretto | allegrettos || F+: allegretto | allegrettos || A.: allegretto | allegrettos || S=: allegretto | allegrettos
allumetier,NOUN,F.,allumetier/F. po:NOUN,allumetier | allumetiers | allumetière | allumetières,allumetier | allumetiers | allumetière | allumetières,NOUN,,F. F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
