INFLECTED,POS,LEMMA




introspecter,VERB,introspecter
intuitionner,VERB,intuitionner
mentaliser,VERB,mentaliser



logicisation,NOUN,logicisation

microphysiciens,NOUN,microphysicien
millésile,NOUN,millésile
minimax,NOUN,minimax
morcelage,NOUN,morcelage
morcelages,NOUN,morcelage



nécessitation,NOUN,nécessitation
nécessitations,NOUN,nécessitation
normativiste,ADJ,normativiste
normativiste,NOUN,normativiste
normativistes,ADJ,normativiste
obtusément,ADV,obtusément
ophélimité,NOUN,ophélimité
ophélimités,NOUN,ophélimité
pansophie,NOUN,pansophie
penchement,NOUN,penchement
perceptron,NOUN,perceptron

phragmitaies,NOUN,phragmitaie
piagétienne,ADJ,piagétien
piagétiens,ADJ,piagétien
plastiline,NOUN,plastiline
polygénie,NOUN,polygénie
polyhybridisme,NOUN,polyhybridisme
polysensoriel,ADJ,polysensoriel
porismes,NOUN,porisme
présentative,NOUN,présentatif
prolepsis,NOUN,prolepsis
rebalancer,VERB,rebalancer
recéler,VERB,recéler
réentraîné,ADJ,réentraîné
réentraîné,VERBpartpast,réentraîner
représentativement,ADV,représentativement
satiation,NOUN,satiation
sensorium,NOUN,sensorium
sociocentrisme,NOUN,sociocentrisme
soleurois,ADJ,soleurois
somatognosie,NOUN,somatognosie
sommande,NOUN,sommande
sommandes,NOUN,sommande
spermatistes,NOUN,spermatiste
stigmergies,NOUN,stigmergie
subjurassiens,ADJ,subjurassien
substantification,NOUN,substantification
substantifier,VERB,substantifier
surcompositions,NOUN,surcomposition
syncrétiquement,ADV,syncrétiquement
tachistoscopie,NOUN,tachistoscopie
tautifiant,VERBpartpres,tautifier
tautification,NOUN,tautification
tautifications,NOUN,tautification
tautifie,VERB,tautifier
tautifier,VERB,tautifier
tolstoïen,ADJ,tolstoïen
trichotomie,NOUN,trichotomie
trichotomies,NOUN,trichotomie
trilemme,NOUN,trilemme
uninaire,ADJ,uninaire
uninaires,ADJ,uninaire
vection,NOUN,vection
vections,NOUN,vection
vibrement,NOUN,vibrement
vivides,ADJ,vivide
