LEMMA,POS
abaissé,ADJ
abandonné,ADJ
abasourdi,ADJ
abat-carré,ADJ
abâtardi,ADJ
abattu,ADJ
abcédé,ADJ
abdiqué,ADJ
abéché,ADJ
abecqué,ADJ
abeillerole,NOUN
abéquer,VERB
abéqué,ADJ
abêti,ADJ
abhorré,ADJ
abime,NOUN
abimer,VERB
abimé,ADJ
abîmé,ADJ
abjuré,ADJ
ablaté,ADJ
abloqué,ADJ
aboli,ADJ
abominé,ADJ
abonni,ADJ
abordé,ADJ
abouché,ADJ
aboulé,ADJ
abouté,ADJ
abouti,ADJ
aboyé,ADJ
abrasé,ADJ
abréagi,ADJ
abreuvé,ADJ
abricoté,ADJ
abrité,ADJ
abrogé,ADJ
abrouti,ADJ
abroutir,VERB
absenté,ADJ
absolutisé,ADJ
absorbé,ADJ
absous,ADJ
absout,ADJ
abstenu,ADJ
abusé,ADJ
acagnardé,ADJ
accablé,ADJ
accaparé,ADJ
accastillé,ADJ
accéléré,ADJ
accentué,ADJ
accepté,ADJ
accessoirisé,ADJ
acclamé,ADJ
acclimaté,ADJ
accointé,ADJ
accoladé,ADJ
accolé,ADJ
accommodé,ADJ
accompagné,ADJ
accompli,ADJ
accoquiné,ADJ
accoré,ADJ
accosté,ADJ
accoté,ADJ
accouché,ADJ
accoudé,ADJ
accoué,ADJ
accouplé,ADJ
accourci,ADJ
accouru,ADJ
accoutré,ADJ
accoutumé,ADJ
accrédité,ADJ
accrété,ADJ
accroché,ADJ
accroupi,ADJ
accru,ADJ
accroitre,VERB
accueilli,ADJ
acculé,ADJ
acculturé,ADJ
accumulé,ADJ
acensé,ADJ
acéré,ADJ
acétifié,ADJ
acétylé,ADJ
achalandé,ADJ
achalé,ADJ
achars,NOUN
acheminé,ADJ
acheté,ADJ
achevé,ADJ
achoppé,ADJ
achromatisé,ADJ
acidifié,ADJ
acidulé,ADJ
aciéré,ADJ
aciselé,ADJ
acoquiné,ADJ
acquis,ADJ
acté,ADJ
actionné,ADJ
activé,ADJ
actualisé,ADJ
acuponcteur,NOUN
acuponcture,NOUN
adapté,ADJ
additionné,ADJ
adiré,ADJ
adjectivé,ADJ
adjectivisé,ADJ
adjugé,ADJ
adjuré,ADJ
admiré,ADJ
admonesté,ADJ
adonisé,ADJ
adonné,ADJ
adorné,ADJ
adossé,ADJ
adoubé,ADJ
adouci,ADJ
adressé,ADJ
adsorbé,ADJ
adulé,ADJ
adultéré,ADJ
advenu,ADJ
adverbialisé,ADJ
aéré,ADJ
affabulé,ADJ
affadi,ADJ
affaibli,ADJ
affairé,ADJ
affaissé,ADJ
affaité,ADJ
affaîté,ADJ
affalé,ADJ
afféagé,ADJ
affecté,ADJ
affectionné,ADJ
affermé,ADJ
affermi,ADJ
affiché,ADJ
affilé,ADJ
affilié,ADJ
affiné,ADJ
affirmé,ADJ
