INFLECTED,POS,LEMMA
abymes,NOUN,abyme
ADN,NOUN,ADN
after-shaves,NOUN,after-shave
aide-soignantes,NOUN,aide-soignant
aide-soignants,NOUN,aide-soignant
allegri,NOUN,allegro
aller-retours,NOUN,aller-retour
alois,NOUN,aloi
analyste-programmeurs,NOUN,analyste-programmeur
andaloue,ADJ,andalou
andaloue,NOUN,andalou
andaloues,ADJ,andalou
andaloues,NOUN,andalou
anglomanes,ADJ,anglomane
anglomanes,NOUN,anglomane
antans,NOUN,antan
antiboise,NOUN,antibois
antiboises,NOUN,antibois
api,NOUN,api
apparatchike,NOUN,apparatchik
apparatchikes,NOUN,apparatchik
arc-doubleaus,NOUN,arc-doubleau
archaux,NOUN,archal
arrière-grand-mères,NOUN,arrière-grand-mère
arrière-grand-tantes,NOUN,arrière-grand-tante
assurance-chômages,NOUN,assurance-chômage
attaché-cases,NOUN,attaché-case
belle-doches,NOUN,belle-doche
bercails,NOUN,bercail
berlues,NOUN,berlue
brésils,NOUN,brésil
calos,NOUN,calo
cantabiles,NOUN,cantabile
cantonades,NOUN,cantonade
capital-risques,NOUN,capital-risque
cd,NOUN,cd
chris-crafts,NOUN,chris-craft
chrysopées,NOUN,chrysopée
cinéramas,NOUN,cinérama
cogitos,NOUN,cogito
collargols,NOUN,collargol
coms,NOUN,com
corned-beefs,NOUN,corned-beef
cou-de-pieds,NOUN,cou-de-pied
couics,NOUN,couic
cuculs,NOUN,cucul
cuissages,NOUN,cuissage
cæsines,NOUN,cæsine
dams,NOUN,dam
demi-fonds,NOUN,demi-fond
ders,NOUN,der
dgr,NOUN,dgr
diachylums,NOUN,diachylum
drelins,NOUN,drelin
en-deça,NOUN,en-deça
en-deças,NOUN,en-deça
encontres,NOUN,encontre
esprit-de-sels,NOUN,esprit-de-sel
esprit-de-vins,NOUN,esprit-de-vin
ests,NOUN,est
extrême-onctions,NOUN,extrême-onction
fantasys,NOUN,fantasy
fatums,NOUN,fatum
fla,NOUN,fla
flashback,NOUN,flashback
flashbacks,NOUN,flashback
foc,NOUN,foc
foisons,NOUN,foison
franc-parlers,NOUN,franc-parler
franquettes,NOUN,franquette
furs,NOUN,fur
glasnosts,NOUN,glasnost
grand-rues,NOUN,grand-rue
granny-smiths,NOUN,granny-smith
grés,NOUN,gré
ide,NOUN,ide
improvistes,NOUN,improviste
insus,NOUN,insu
interclubses,NOUN,interclubs
iule,NOUN,iule
iules,NOUN,iule
koinès,NOUN,koinè
kvas,NOUN,kvas
kwas,NOUN,kwas
libre-échangismes,NOUN,libre-échangisme
loci,NOUN,locus
loess,NOUN,loess
lycras,NOUN,lycra
machs,NOUN,mach
martels,NOUN,martel
méthyls,NOUN,méthyl
mi-aoûts,NOUN,mi-août
mi-avrils,NOUN,mi-avril
mi-décembres,NOUN,mi-décembre
mi-distances,NOUN,mi-distance
mi-févriers,NOUN,mi-février
mi-janviers,NOUN,mi-janvier
mi-juillets,NOUN,mi-juillet
mi-juins,NOUN,mi-juin
mi-mais,NOUN,mi-mai
mi-novembres,NOUN,mi-novembre
mi-octobres,NOUN,mi-octobre
mi-septembres,NOUN,mi-septembre
minimax,NOUN,minimax
mont-joies,NOUN,mont-joie
morals,NOUN,moral
mot-valises,NOUN,mot-valise
moyen-âges,NOUN,moyen-âge
no,NOUN,no
non-êtres,NOUN,non-être
non-recevoirs,NOUN,non-recevoir
nons,NOUN,non
nords,NOUN,nord
noroise,NOUN,norois
noroises,NOUN,norois
nôs,NOUN,nô
ocs,NOUN,oc
oïls,NOUN,oïl
one-man-shows,NOUN,one-man-show
ouadis,NOUN,ouadi
ouests,NOUN,ouest
paca,NOUN,paca
paranormals,NOUN,paranormal
parolis,NOUN,paroli
parti-pris,NOUN,parti-pris
pc,NOUN,pc
pehlvis,NOUN,pehlvi
peps,NOUN,pep
perestroïkas,NOUN,perestroïka
perlimpinpins,NOUN,perlimpinpin
petite-maîtresses,NOUN,petite-maîtresse
ph,NOUN,ph
pic-verts,NOUN,pic-vert
pietàs,NOUN,pietà
pinyins,NOUN,pinyin
plein-emplois,NOUN,plein-emploi
pour-comptes,NOUN,pour-compte
pourquois,NOUN,pourquoi
praesidiums,NOUN,praesidium
précausalités,NOUN,précausalité
quakère,NOUN,quaker
quakères,NOUN,quaker
quattrocentos,NOUN,quattrocento
radical-socialismes,NOUN,radical-socialisme
recrû,ADJ,recrû
recrû,NOUN,recrû
recrû,VERB,recroître
recrûs,ADJ,recrû
recrûs,NOUN,recrû
recrûs,VERB,recroître
rés,NOUN,ré
revenant-bons,NOUN,revenant-bon
ricins,NOUN,ricin
saint-crépins,NOUN,saint-crépin
saint-frusquins,NOUN,saint-frusquin
saint-paulins,NOUN,saint-paulin
saint-simonismes,NOUN,saint-simonisme
samurais,NOUN,samurai
sang-froids,NOUN,sang-froid
sauvettes,NOUN,sauvette
septums,NOUN,septum
sicavs,NOUN,sicav
sidas,NOUN,sida
souls,NOUN,soul
speakère,NOUN,speaker
speakères,NOUN,speaker
sud-ests,NOUN,sud-est
sud-ouests,NOUN,sud-ouest
suds,NOUN,sud
tao,NOUN,tao
toute-puissances,NOUN,toute-puissance
toutims,NOUN,toutim
trou-madames,NOUN,trou-madame
tsare,NOUN,tsar
tsares,NOUN,tsar
vacuums,NOUN,vacuum
variorums,NOUN,variorum
vibrement,NOUN,vibrement
vibrements,NOUN,vibrement
vif-argents,NOUN,vif-argent
ville-champignons,NOUN,ville-champignon
vracs,NOUN,vrac
webs,NOUN,web
yangs,NOUN,yang
yins,NOUN,yin
off-shores,ADJ,off-shore
social-démocrates,ADJ,social-démocrate
contreperçante,ADJ,contreperçant
contreperçantes,ADJ,contreperçant
contreperçants,ADJ,contreperçant
grégeoise,ADJ,grégeois
grégeoises,ADJ,grégeois
antidumpings,ADJ,antidumping
antieffractions,ADJ,antieffraction
antipaniques,ADJ,antipanique
abada,VERB,abader
