GRAPH,NORM,TAG
à base de,,ADP
à bon droit,,ADV
à bord,,ADV
à bord de,,ADP
à bout de,,ADP
à bout de force,,ADJ
à bout portant,,ADV
à brûle-pourpoint,,ADV
a capella,,ADV
a cappella,,ADV
à cause de,,ADP
à cet égard,,ADP
à chaque fois,,ADV
à chaque fois que,,SCONJ
à cloche-pied,,ADV
à compter de,,ADP
à condition de,,ADP
a contrario,,ADV
à côté de,,ADP
à coup de,,ADP
à coup sûr,,ADV
à défaut de,,ADP
à des degrés divers,,ADV
à dessein de,,ADP
à destination de,,ADP
à fin de,,ADP
à fond,,ADV
à fond,,ADV
à force de,,ADP
a fortiori,,ADV
à fortiori,,ADV
a giorno,,ADV
à giorno,,ADV
à glagla,,ADV
à grand renfort de,,ADP
à haute voix,,ADV
à jeun,,ADV
à jeun,,ADV
à juste titre,,ADV
à l'autre bout de,,ADP
à l'aveuglette,,ADV
à l'aveuglette,,ADV
à l'égard de,,ADP
à l'encan,,ADV
à l'encan,,ADV
à l'envi,,ADV
à l'envi,,ADV
à l'improviste,,ADV
à l'improviste,,ADV
à l'instant même,,ADV
à l'adresse de,,ADP
à l'aide de,,ADP
à l'appui de,,ADP
à l'aulne de,,ADP
à l'aune de,,ADP
à l'avenant,,ADP
à l'effet de,,ADP
à l'égal de,,ADP
à l'égard de,,ADP
à l'encontre,,ADP
à l'endroit de,,ADP
à l'entour de,,ADP
à l'épreuve de,,ADP
à l'exemple de,,ADP
à l'extérieur de,,ADP
à l'imitation de,,ADP
à l'instant,,ADV
à l'instar de,,ADP
à l'intérieur de,,ADP
à l'ombre de,,ADP
à l'opposé de,,ADP
à l'unisson,,ADP
à la condition de,,ADP
à la fois,,ADV
à la longue,,ADV
à la lumière de,,ADP
à la mémoire de,,ADP
à la place de,,ADP
à la réserve de,,ADP
à la saint-glinglin,,ADV
à la sortie de,,ADP
à la suite de,,ADP
à la vue de,,ADP
à la zeub,,ADP
à leur encontre,,ADV
à long terme,,ADV
à lurelure,,ADV
à mon encontre,,ADV
angle aigu,,NOUN
angle obtus,,NOUN
à notre encontre,,ADV
à nouveau,,ADV
à NUM fois,,ADV
à part,,ADP
à part ça,,ADP
à partir de,,ADP
à partir de là,,ADP
à peine,,ADV
à peine de,,ADP
à perte de vue,,ADV
à peu près,,ADV
a posteriori,,ADV
à posteriori,,ADV
à présent,,ADV
a priori,apriori,ADV
a priori,apriori,NOUN
à priori,apriori,ADV
à propos de,,ADP
à proprement parler,,ADV
à quoi bon,,ADVquest
à raison de,,ADP
à ras,,ADJ
à ras bord,,ADV
à rebours,,ADV
à rebours de,,ADP
à rebrousse-poil,,ADV
à sens unique,,ADV
à son encontre,,ADV
à tâtons,,ADV
à terme,,ADP
à tire-larigot,,ADV
à titre de,,ADP
à ton encontre,,ADV
à touche-touche,,ADV
à travers,,ADP
à tue-tête,,ADV
à valeurs dans,,ADP
à voir,,ADP
à voix basse,,ADV
à voix haute,,ADV
à votre encontre,,ADV
à vrai dire,,ADV
au premier chef,,ADV
au premier abord,,ADV
au bas,,ADV
au bas de,,ADP
au beau milieu de,,ADP
au bord de,,ADP
au bout de,,ADP
au cas où,,SCONJ
au contraire,,ADV
au contraire de,,ADP
au cours de,,ADP
au delà,au-delà,
au-delà,,ADV
au dépourvu,,ADV
au détriment de,,ADP
au droit de,,ADP
au lieu de,,ADP
au lieu et place de,,ADP
au milieu de,,ADP
au moins,,ADV
au moment de,,ADP
au moment où,,ADP
au moyen de,,ADP
au niveau de,,ADP
au nom de,,ADP
au préjudice de,,ADP
au prétexte de,,ADP
au prix de,,ADP
au ras de,,ADP
au rebours de,,ADP
au regard de,,ADP
au risque de,,ADP
au sein de,,ADP
au sens étroit,,ADV
au sens figuré,,ADV
au sens large,,ADV
au sens propre,,ADV
au sortir de,,ADP
au spectacle de,,ADP
au sujet de,,ADP
au temps de,,ADP
au travers,à travers,ADP
au travers de,,ADP
au vu de,,ADP
au vu et au su de,,ADP
au vu et su de,,ADP
autrement dit,,ADVconj
autrement dire,autrement dit,
aux aguets,,ADV
aux dépens de,,ADP
aux fins de,,ADP
aux lieu et place de,,ADP
aux portes de,,ADP
aux yeux de,,ADP
académie des sciences,Académie des Sciences,
Académie des Sciences,,NOUN
académie des sciences morales,Académie des Sciences morales et politiques,
Académie des Sciences morales,Académie des Sciences morales et politiques,
académie des sciences morales et politiques,Académie des Sciences morales et politiques,
Académie des Sciences morales et politiques,,NOUN
acid jazz,,NOUN
acte sexuel,,NOUN
actes sexuels,acte sexuel,
action painting,,NOUN
ad hoc,,ADJ
administrateur général,,NOUN
affaires étrangères,Affaires étrangères,
Affaires étrangères,,NOUN
afin de,,ADP
afin que,,SCONJ
after shave,,NOUN
agent de change,,NOUN
agents de change,,NOUN
agnus dei,,NOUN
aide de camp,,NOUN
air bag,,NOUN
aller aller,,EXCL
aller droit,,VERB
aller de soi,,VERB
allez allez,,EXCL
allons allons,,EXCL
alors que,,CCONJ
alter ego,,NOUN
Altesse,,PROPNprs
Altesse Royale,,PROPNprs
amour propre,,NOUN
appareil photo,,NOUN
après que,,SCONJ
argent de poche,,NOUN
arrêt maladie,,NOUN
arrière-train,,NOUN
assemblée générale,,NOUN
au-dedans de,,ADP
au-dessous de,,ADP
aujourd'hui,,ADVconj
au premier abord,,ADV
auprès de,,ADP
auquel cas,,CCONJ
au point de vue,,ADV
au sens strict,,ADV
aussi peu que,,ADP
autour de,,ADP
autre chose,,NOUN
autre part,,ADV
autrement dit,,ADVconj
av. J.-C.,,NUM
avant J.-C.,av. J.-C.,
avant de,,ADP
avant même que,,SCONJ
avant que,,SCONJ
avant que de,,ADP
avocat général,,NOUN
avoir l'air,,VERB
avoir lieu,,VERB
ayants droit,,NOUN
back up,,NOUN
bain de mer,,NOUN
bains de mer,,NOUN
bande à part,,NOUN
bas de page,,NOUN
bas ventre,bas-ventre,
bas-ventre,,NOUN
beat generation,,NOUN
beau fils,beau-fils,
beau frère,beau-frère,
beau père,beau-père,
beau temps,,NOUN
beaucoup de,,DETindef
beaux esprits,bel esprit,
bec de gaz,,NOUN
becs de gaz,,NOUN
bel canto,,NOUN
bel esprit,,NOUN
belle fille,belle-fille,
belle lurette,,NOUN
belle mère,belle-mère,
belle sœur,belle-sœur,
best of,,NOUN
bien entendu,,ADV
bien loin de,,ADP
bien que,,SCONJ
bien sûr,,ADV
big band,,NOUN
big bang,,NOUN
birth control,,NOUN
bla bla,,NOUN
bloody mary,,NOUN
