lemma,udpos,count,distinct_forms
le,DET,11102181127,4
de,ADP,8818296701,2
de,DET,8818296701,2
la,NOUN,4892480510,1
et,CCONJ,3867624351,1
être,AUX,3834066450,43
à,ADP,3221974801,1
un,NOUN,3190912430,4
les,DET,3114530955,1
des,DET,2764279382,1
avoir,AUX,2336747231,46
en,ADP,2055050323,1
en,PRON,2055050323,1
du,DET,1873450879,1
que,SCONJ,1872725535,2
un,DET,1618046773,1
est,NOUN,1549068628,1
une,DET,1539720198,1
dan,NOUN,1473245504,2
dans,ADP,1471861526,1
au,DET,1381958371,2
par,ADP,1225355657,1
pour,ADP,1039863752,1
plaire,VERB,835078898,38
plus,ADV,823607565,1
plus,NOUN,823607565,1
pas,NOUN,806232443,1
sur,ADJ,761326902,4
sur,ADP,760979024,1
ce,DET,756267757,2
pouvoir,VERB,719219653,45
faire,VERB,711347224,39
ou,CCONJ,589758414,1
leur,DET,544724297,2
leur,NOUN,544724297,2
son,NOUN,507512520,2
avec,ADP,507356677,1
son,DET,503461922,1
même,ADJ,493597300,2
cette,DET,440722634,1
même,ADV,433927821,1
comme,SCONJ,410272214,1
autre,NOUN,397435899,2
mai,NOUN,389650433,2
être,NOUN,384200013,2
y,PRON,380676942,1
faire,ADJ,378323581,4
ces,DET,358085456,1
mais,CCONJ,355952568,1
ses,DET,350514854,1
sa,DET,347529208,1
luire,VERB,340537872,37
devoir,VERB,329070785,38
fait,NOUN,328116839,2
dire,VERB,308643489,34
tout,NOUN,294620503,2
tout,ADV,294486294,1
été,NOUN,289162660,2
bien,NOUN,288693270,2
si,ADV,278923135,1
si,NOUN,278923135,1
si,SCONJ,278923135,1
grand,NOUN,269538672,4
bien,ADJ,265596082,1
bien,ADV,265596082,1
sans,ADP,251448693,1
entrer,VERB,242729224,36
voir,VERB,223418435,36
entre,ADP,216182854,1
premier,NOUN,207533543,4
aussi,ADV,200182426,1
poindre,ADJ,185254754,4
encore,ADV,184367860,1
partir,ADJ,180445903,4
homme,NOUN,179934616,2
sou,NOUN,179678838,2
point,NOUN,177713435,2
sous,ADP,176903231,1
droit,NOUN,174752045,4
très,ADV,171473922,1
après,ADP,169132611,1
nouveau,NOUN,166187676,6
moins,ADP,163938222,1
moins,NOUN,163938222,1
général,NOUN,155001624,4
temps,NOUN,153619565,1
donner,VERB,153154643,36
poindre,VERB,150647376,36
non,NOUN,150500461,1
trouver,VERB,149913169,36
partir,VERB,149798945,36
peu,ADV,148794287,1
soit,CCONJ,148418757,1
falloir,VERB,146847564,9
prendre,VERB,145452705,36
ainsi,ADV,142496268,1
partie,NOUN,140436273,2
dire,ADJ,138799794,4
jour,NOUN,138454620,2
savoir,VERB,137264688,41
avoir,NOUN,137197854,2
aller,VERB,133161799,43
toutes,ADV,132227000,1
certain,ADJ,132013536,4
former,VERB,130542083,36
contrer,VERB,130523459,36
contre,NOUN,129119518,2
contre,ADP,129089776,1
donc,CCONJ,128322244,1
mettre,VERB,127409390,36
an,NOUN,127296874,2
fut,NOUN,126236977,2
toute,ADV,125771303,1
travail,NOUN,125258009,2
foi,NOUN,123832531,2
dit,NOUN,123374818,2
loi,NOUN,123166229,2
cas,NOUN,120831329,1
dire,NOUN,120423047,2
venir,VERB,119785449,36
suivre,VERB,119542309,36
vouloir,VERB,118860867,41
seul,NOUN,117690545,4
faillir,VERB,117319384,37
pays,NOUN,115805702,1
effet,NOUN,115095325,2
année,NOUN,114370458,2
politiquer,VERB,114052148,37
politique,NOUN,114043627,2
notre,DET,114028608,1
dernier,NOUN,110730399,4
moyen,NOUN,109879737,4
tel,ADJ,107975114,4
toujours,ADV,107733291,1
petit,NOUN,105645344,4
in,NOUN,104731359,1
no,NOUN,104612893,2
cet,DET,104443059,1
voir,ADJ,104399897,4
vu,NOUN,104399897,4
lieu,NOUN,103998464,3
rester,VERB,102248962,36
là,ADV,102200276,1
vie,NOUN,101623885,2
fois,NOUN,100558667,1
porter,VERB,100055954,36
ni,CCONJ,99412477,1
français,NOUN,97850279,3
étayer,VERB,97485343,50
public,ADJ,97328054,4
forme,NOUN,97039652,2
nos,DET,96856431,1
part,NOUN,95961234,2
courir,VERB,95658548,36
alors,ADV,94917569,1
nombrer,VERB,94417187,36
nombre,NOUN,94379009,2
choser,VERB,93690240,36
chose,NOUN,93683959,2
bon,NOUN,93138328,4
permettre,VERB,92770878,36
sentir,VERB,92168177,36
question,NOUN,91312335,2
rapport,NOUN,89254895,2
ci,ADV,88502340,1
sortir,VERB,87950573,39
demander,VERB,86996110,36
avant,NOUN,86310833,2
avant,ADP,86275759,1
donner,ADJ,84710959,4
ver,NOUN,84495956,2
ordre,NOUN,83742150,2
compter,VERB,83576410,36
depuis,ADP,83566935,1
depuis,ADV,83566935,1
vers,ADP,83130498,1
vers,NOUN,83130498,1
chez,ADP,83064023,1
rendre,VERB,82553953,36
état,NOUN,82464804,2
passer,VERB,82337725,36
placer,VERB,81947934,36
fort,NOUN,80950109,4
monder,VERB,80323596,36
monde,NOUN,80296676,2
ville,NOUN,80176952,2
vivre,VERB,80024943,36
pouvoir,NOUN,79906008,2
social,ADJ,79394463,4
nom,NOUN,79103501,2
seulement,ADV,78660251,1
article,NOUN,77966647,2
cour,NOUN,77695863,2
forcer,VERB,77085813,36
déjà,ADV,76760480,1
car,NOUN,76624918,2
car,CCONJ,76451988,1
présenter,VERB,76079373,36
raison,NOUN,75641026,2
mesurer,VERB,75055153,36
causer,VERB,74750252,36
beaucoup,ADV,74632926,1
rien,NOUN,74260210,2
femme,NOUN,74029064,2
personne,NOUN,73802369,2
eau,NOUN,73783530,2
guerre,NOUN,73529049,2
croire,VERB,72735891,36
exemple,NOUN,72648441,2
force,NOUN,72502004,2
action,NOUN,72406525,2
suivant,NOUN,72332782,4
pendre,VERB,72194611,36
siècle,NOUN,72096984,2
agir,VERB,72065560,30
sembler,VERB,71957028,37
quand,SCONJ,71926684,1
produire,ADJ,71899021,4
souvent,ADV,71791019,1
présent,NOUN,71704033,4
pendant,ADJ,71655513,4
condition,NOUN,71328338,2
parler,VERB,71070122,36
pendant,NOUN,71041074,2
celer,VERB,70948866,36
pendant,ADP,70844086,1
mettre,ADJ,69991171,3
idée,NOUN,69900037,2
mon,DET,69770231,1
livrer,VERB,69698660,36
enfant,NOUN,69504487,2
intérêt,NOUN,69301008,2
corps,NOUN,69297956,1
esprit,NOUN,69178176,2
place,NOUN,69123738,2
mesure,NOUN,68894380,2
quelque,ADV,68806337,1
cause,NOUN,68696849,2
prendre,ADJ,68418562,3
trop,ADV,68381997,1
ancien,NOUN,67170791,4
sen,NOUN,67036786,2
société,NOUN,66774942,2
sens,NOUN,66610938,1
différent,ADJ,66443460,4
moment,NOUN,66433903,2
tenir,VERB,66301893,36
comprendre,VERB,66270933,36
art,NOUN,66179109,2
assez,ADV,66101953,1
sujet,NOUN,66090817,4
terrer,VERB,66087304,36
fin,NOUN,65626936,4
produit,NOUN,65579312,2
heure,NOUN,65528309,2
système,NOUN,65383920,2
auteur,NOUN,65321525,6
tant,ADV,64993160,1
devenir,VERB,64790195,36
nature,NOUN,64611868,2
commun,NOUN,64534582,4
compte,NOUN,64502438,2
service,NOUN,64456955,2
long,ADJ,64402628,4
boire,VERB,64166753,36
objet,NOUN,64069190,2
maniérer,VERB,64015948,47
manière,NOUN,64011338,2
principe,NOUN,63927672,2
ailleurs,ADV,63705150,1
mourir,ADJ,63557438,4
mort,NOUN,63557438,4
acter,VERB,63354800,36
terre,NOUN,62997599,2
national,NOUN,62976522,4
particulier,NOUN,62924336,4
valeur,NOUN,62902151,2
étude,NOUN,62729755,2
surtout,ADV,61969480,1
gouvernement,NOUN,61871257,2
produire,VERB,61672464,36
roi,NOUN,61382389,2
ici,ADV,61171575,1
côté,NOUN,60942141,2
connaître,VERB,60459833,36
histoire,NOUN,60448559,2
œuvrer,VERB,60396017,37
laisser,VERB,60052100,36
œuvre,NOUN,59811156,2
mot,NOUN,59762650,2
reste,NOUN,59734946,2
peupler,VERB,59521896,36
étranger,NOUN,59437299,4
livre,NOUN,59413900,2
main,NOUN,58827133,2
peuple,NOUN,58613893,2
haut,ADJ,58122012,4
paraître,VERB,57797720,36
divers,ADJ,57794412,3
exister,VERB,57712650,37
devant,NOUN,57669369,2
