fr-reforme1990_only,fr-classique_only
abcèdera,abcédera
abcèderai,abcéderai
abcèderaient,abcéderaient
abcèderais,abcéderais
abcèderait,abcéderait
abcèderas,abcéderas
abcèderez,abcéderez
abcèderiez,abcéderiez
abcèderions,abcéderions
abcèderons,abcéderons
abcèderont,abcéderont
abèchera,abéchera
abècherai,abécherai
abècheraient,abécheraient
abècherais,abécherais
abècherait,abécherait
abècheras,abécheras
abècherez,abécherez
abècheriez,abécheriez
abècherions,abécherions
abècherons,abécherons
abècheront,abécheront
abima,abîma
abimai,abîmai
abimaient,abîmaient
abimais,abîmais
abimait,abîmait
abimâmes,abîmâmes
abimant,abîmant
abimas,abîmas
abimasse,abîmasse
abimassent,abîmassent
abimasses,abîmasses
abimassiez,abîmassiez
abimassions,abîmassions
abimât,abîmât
abimâtes,abîmâtes
abimée,abîmée
abimées,abîmées
abiment,abîment
abimer,abîmer
abimera,abîmera
abimerai,abîmerai
abimeraient,abîmeraient
abimerais,abîmerais
abimerait,abîmerait
abimeras,abîmeras
abimèrent,abîmèrent
abimerez,abîmerez
abimeriez,abîmeriez
abimerions,abîmerions
abimerons,abîmerons
abimeront,abîmeront
abimez,abîmez
abimiez,abîmiez
abimions,abîmions
abimons,abîmons
abrègera,abrégera
abrègerai,abrégerai
abrègeraient,abrégeraient
abrègerais,abrégerais
abrègerait,abrégerait
abrègeras,abrégeras
abrègerez,abrégerez
abrègeriez,abrégeriez
abrègerions,abrégerions
abrègerons,abrégerons
abrègeront,abrégeront
accèdera,accédera
accèderai,accéderai
accèderaient,accéderaient
accèderais,accéderais
accèderait,accéderait
accèderas,accéderas
accèderez,accéderez
accèderiez,accéderiez
accèderions,accéderions
accèderons,accéderons
accèderont,accéderont
accélèrera,accélérera
accélèrerai,accélérerai
accélèreraient,accéléreraient
accélèrerais,accélérerais
accélèrerait,accélérerait
accélèreras,accéléreras
accélèrerez,accélérerez
accélèreriez,accéléreriez
accélèrerions,accélérerions
accélèrerons,accélérerons
accélèreront,accéléreront
accrètera,accrétera
accrèterai,accréterai
accrèteraient,accréteraient
accrèterais,accréterais
accrèterait,accréterait
accrèteras,accréteras
accrèterez,accréterez
accrèteriez,accréteriez
accrèterions,accréterions
accrèterons,accréterons
accrèteront,accréteront
accroit,accroît
accroitra,accroîtra
accroitrai,accroîtrai
accroitraient,accroîtraient
accroitrais,accroîtrais
accroitrait,accroîtrait
accroitras,accroîtras
accroitre,accroître
accroitrez,accroîtrez
accroitriez,accroîtriez
accroitrions,accroîtrions
accroitrons,accroîtrons
accroitront,accroîtront
acèrera,acérera
acèrerai,acérerai
acèreraient,acéreraient
acèrerais,acérerais
acèrerait,acérerait
acèreras,acéreras
acèrerez,acérerez
acèreriez,acéreriez
acèrerions,acérerions
acèrerons,acérerons
acèreront,acéreront
acidobasique,acido-basique
acidobasiques,acido-basiques
acièrera,aciérera
acièrerai,aciérerai
acièreraient,aciéreraient
acièrerais,aciérerais
acièrerait,aciérerait
acièreras,aciéreras
acièrerez,aciérerez
acièreriez,aciéreriez
acièrerions,aciérerions
acièrerons,aciérerons
acièreront,aciéreront
adhèrera,adhérera
adhèrerai,adhérerai
adhèreraient,adhéreraient
adhèrerais,adhérerais
adhèrerait,adhérerait
adhèreras,adhéreras
adhèrerez,adhérerez
adhèreriez,adhéreriez
adhèrerions,adhérerions
adhèrerons,adhérerons
adhèreront,adhéreront
adiposogénital,adiposo-génital
adiposogénitale,adiposo-génitale
adiposogénitales,adiposo-génitales
adiposogénitaux,adiposo-génitaux
adultèrera,adultérera
adultèrerai,adultérerai
adultèreraient,adultéreraient
adultèrerais,adultérerais
adultèrerait,adultérerait
adultèreras,adultéreras
adultèrerez,adultérerez
adultèreriez,adultéreriez
adultèrerions,adultérerions
adultèrerons,adultérerons
adultèreront,adultéreront
aèrera,aérera
aèrerai,aérerai
aèreraient,aéreraient
aèrerais,aérerais
aèrerait,aérerait
aèreras,aéreras
aèrerez,aérerez
aèreriez,aéreriez
aèrerions,aérerions
aèrerons,aérerons
aèreront,aéreront
affèrera,afférera
affèrerai,afférerai
affèreraient,afféreraient
affèrerais,afférerais
affèrerait,afférerait
affèreras,afféreras
affèrerez,afférerez
affèreriez,afféreriez
affèrerions,afférerions
affèrerons,afférerons
affèreront,afféreront
affèterie,afféterie
affèteries,afféteries
affrètera,affrétera
affrèterai,affréterai
affrèteraient,affréteraient
affrèterais,affréterais
affrèterait,affréterait
affrèteras,affréteras
affrèterez,affréterez
affrèteriez,affréteriez
affrèterions,affréterions
affrèterons,affréterons
affrèteront,affréteront
affut,affût
affuta,affûta
affutage,affûtage
affutages,affûtages
affutai,affûtai
affutaient,affûtaient
affutais,affûtais
affutait,affûtait
