SURFACE,CORRECTION
Abencerrages,Abencérages
Académus,Académos
Achmadova,Akhmatova
Adenez,Adenet
Affschensbourg,Aschaffenburg
Alcestes,Alceste
Apelles,Apelle
Aspasies,Aspasie
Assouci,Assoucy
Balachova,Balachova
Balieff,Baliev
Balke,Balkh
Barneveldt,Oldenbarnevelt
Bartholos,Bartholo
Bedfort,Bedford
Bobio,Bobbio
Bois-Robert,Boisrobert
Bouterweck,Bouterwek
Brequigny,Bréquigny
Budapesth,Budapest
Buenos-Ayres,Buenos Aires
Bukarest,Bucarest
Camoëns,Camoës
Casaubah,Casbah
Champy,Champi
Christ,Jésus-Christ
Cinires,Cinire
Coïmbre,Coimbra
Comène,Comnène
Comines,Commynes
Commines,Commynes
Comynes,Commynes
Corrége,Corrège
Corynthienne,Corinthienne
Créuse,Créüse
Cufa,Koufa
Czar,Tsar
Daurat,Dorat
Diaghilev,Diaghilev
différens,différents
Dniéper,Dniepr
Doubrovska,Doubrovska
Dreyschok,Dreyschock
Durer,Dürer
Éginhart,Éginhard
Egorova,Egorova
Ericeira,Menezes
Érinnyes,Érinyes
Eryceira,Menezes
Ésaïe,Isaïe
Fénélon,Fénelon
Fésoles,Fiesole
Fokine,Fokine
Foulcques,Foulques
Fouquier-Tainville,Fouquier-Tinville
Freyschütz,Freischütz
Fulde,Fulda
Gillenormand,Gille Normand
Glazounoff,Glazounov
Godounof,Godounov
Godounoff,Godounov
Goubio,Gubbio
Goumilev,Goumilev
Gral,Graal
Grandisson,Grandison
Griffin,Vielé-Griffin
Guienne,Guyenne
Guilhen,Guillén
Guy-Mannering,Guy Mannering
Guymond,Guimond
Haeckel,Hæckel
Haute-Fort,Hautefort
Helinant,Hélinand
Heyermans,Heijermans
Heyne,Heine
Hok’saï,Hokusai
Hokousai,Hokusai
Hroswita,Hrosvita
Hroswitha,Hrosvita
Hroswithe,Hrosvita
Hypatia,Hypatie
Idzikovsky,Idzikovski
Idzikowsky,Idzikovski
Jacovleff,Iakovlev
Jasons,Jason
Jena,Iéna
Jéna,Iéna
Jésus,Jésus-Christ
Jordano,Giordano
Joukoff,Joukov
Képler,Kepler
Khèyam,Khayyam
Khovanschtina,Khovanchtchina
Koran,Coran
Krüdner,Krüdener
Kubelick,Kubelik
Laferronnais,La Ferronays
Lafeuillade,La Feuillade
Landovska,Landovska
Lapérouse,La Pérouse
Lapeyrouse ,La Pérouse
Larionoff,Larionov
Lauzanne,Lausanne
ldzikovsky,Idzikovski
Leipsick,Leipzig
Lemière,Le Mierre
Lemierre,Le Mierre
Leonidoff,Leonidov
Léonidoff,Leonidov
Litz,Listz
Loëve-Veimars,Loève-Veimars
Loève-Veymars,Loève-Veimars
Lulli,Lully
Luzan,Luzán
lvanoff,Ivanov
Malaca,Malacca
Malhouet,Malouet
Malkovsky,Malkovsky
Marcile,Marsile
Mazoyer,Mazoïer
Mécènes,Mécène
Mendosa,Mendoza
Mireio,Miréio
Misantrope,Misanthrope
Montchrétien,Montchrestien
Monte-Christo,Monte-Cristo
Napierkowska,Napierkovska
Nemtchinova,Nemtchinova
Nicolaeva,Nicolaïeva
Niemtchinova,Nemtchinova
Nijinska,Nijinska
Nijinski,Nijinski
Nijinsky,Nijinski
Novikoff,Novikov
Oghinska,Oginska
Ormus,Ormuz
Paderewsky,Paderewski
Panza,Pança
Pavlova,Pavlova
Pawlova,Pavlova
Pétrouchka,Petrouchka
Philamintes,Philaminte
Philelphe,Filelfo
Pistoïa,Pistoia
Pistoie,Pistoia
Poliziano,Politien
Polovtsiennes,Polovtsiennes
Prokofieff,Prokofiev
Prudhomme,Sully-Prudhomme
Rimski-Korsakoff,Rimski-Korsakov
Rimsky,Rimski-Korsakov
Rimsky-Korsakoff,Rimski-Korsakov
Rob-Roy,Rob Roy
Rocroy,Rocroi
Romanoff,Romanov
Sakharoff,Sakharov
Sakharoffs,Sakharov
Santillane,Santillana
Schéhérazade,Shéhérazade
Schérer,Scherer
Sénancour,Senancour
Sénancourt,Senancour
Sforce,Sforza
shakspearien,shakespearien
Shylok,Shylock
Smolzoff,Smolzov
Souwaroff,Souvarov
Stanislavsky,Stanislavski
Stravinsky,Stravinsky
Strawinsky,Stravinsky
Sunium,Sounion
Svirskaya,Svirskaïa
Taïroff,Tairov
Tartufe,Tartuffe
Tchaikovsky,Tchaïkovski
Tchaikowsky,Tchaïkovski
Tchaïkowsky,Tchaïkovski
Tchernicheva,Tchernitcheva
Tchernitcheva,Tchernitcheva
Thangs,Tang
Thibet,Tibet
Tokio,Tokyo
Tréfilova,Trefilova
Tzar,Tsar
Velasquez,Velázquez
Vélasquez,Velázquez
Vévey,Vevey
Viellé-Griffin,Vielé-Griffin
Ville-Hardouin,Villehardouin
Villeroi,Villeroy
Vladimiroff,Vladimirov
Warrens,Warens
Wawerley,Waverley
Weymar,Weimar
Wilhem,Wilhelm
Wishnou,Vishnou
Wladislas,Ladislas
Xantippe,Xanthippe
Xercès,Xerxès
Yurieva,Iourieva
Zwéreff,Zverev
