LEMMA,POS
à,ADP
à-côté,NOUN
à-coup,NOUN
à-peu-près,NOUN
à-pic,NOUN
à-plat-ventrisme,NOUN
à-propos,NOUN
à-valoir,NOUN
ab,ADV
abaca,NOUN
abacule,NOUN
abader,VERB
abaissable,ADJ
abaissant,ADJ
abaissé,ADJ
abaisse-langue,NOUN
abaissée,NOUN
abaissement,NOUN
abaisser,VERB
abaisseur,NOUN
abajoue,NOUN
abalober,VERB
abalone,NOUN
abalourdir,VERB
abandon,NOUN
abandonnataire,NOUN
abandonnateur,NOUN
abandonné,ADJ
abandonnement,NOUN
abandonner,VERB
abandonnique,ADJ
abandonnisme,NOUN
abandonniste,ADJ
abandonniste,NOUN
abaque,NOUN
abarticulaire,ADJ
abarticulation,NOUN
abasie,NOUN
abasourdi,ADJ
abasourdir,VERB
abasourdissant,ADJ
abasourdissement,NOUN
abat,NOUN
abat-carrage,NOUN
abat-carre,NOUN
abat-carré,ADJ
abat-carrer,VERB
abat-feuille,NOUN
abat-foin,NOUN
abat-jour,NOUN
abat-poussière,NOUN
abat-son,NOUN
abat-vent,NOUN
abat-voix,NOUN
abatage,NOUN
abâtardi,ADJ
abâtardir,VERB
abâtardissement,NOUN
abatée,NOUN
abatis,NOUN
abattable,ADJ
abattage,NOUN
abattant,NOUN
abattée,NOUN
abattement,NOUN
abatteur,ADJ
abatteur,NOUN
abattis,NOUN
abattoir,NOUN
abattre,VERB
abattu,ADJ
abatture,NOUN
abbasside,ADJ
abbasside,NOUN
abbatial,ADJ
abbatiale,NOUN
abbatiat,NOUN
abbaye,NOUN
abbé,NOUN
abbesse,NOUN
abbevillien,ADJ
abbevillien,NOUN
abc,NOUN
abcédé,ADJ
abcéder,VERB
abcès,NOUN
abdicataire,ADJ
abdicataire,NOUN
abdication,NOUN
abdiqué,ADJ
abdiquer,VERB
abdo,NOUN
abdomen,NOUN
abdominal,ADJ
abdominal,NOUN
abdomino-génital,ADJ
abdos-fessiers,NOUN
abducteur,ADJ
abducteur,NOUN
abduction,NOUN
abeaudir,VERB
abeausir,VERB
abécédaire,NOUN
abéché,ADJ
abécher,VERB
abecqué,ADJ
abecquer,VERB
abée,NOUN
abeillage,NOUN
abeille,NOUN
abeiller,ADJ
abeiller,NOUN
abeillerole,NOUN
abeillerolle,NOUN
abeillier,NOUN
abeillon,NOUN
abélianisation,NOUN
abélianisé,ADJ
abélien,ADJ
abénaquis,ADJ
abénaquis,NOUN
abéqué,ADJ
abéquer,VERB
aber,NOUN
aberrance,NOUN
aberrant,ADJ
aberration,NOUN
aberrer,VERB
abessif,NOUN
abêti,ADJ
abêtifié,ADJ
abêtifier,VERB
abêtir,VERB
abêtissant,ADJ
abêtissement,NOUN
abhorré,ADJ
abhorrer,VERB
abicher,VERB
abies,NOUN
abiétacée,NOUN
abiétin,ADJ
abiétin,NOUN
abiétinée,NOUN
abigotir,VERB
abillot,NOUN
abime,NOUN
abimé,ADJ
abîme,NOUN
abîmé,ADJ
abimer,VERB
abîmer,VERB
abiogenèse,NOUN
abiotique,ADJ
abiotrophie,NOUN
abject,ADJ
abjectement,ADV
abjection,NOUN
abjuration,NOUN
abjuré,ADJ
abjurer,VERB
abkhaze,ADJ
abkhaze,NOUN
ablactation,NOUN
ablaté,ADJ
ablater,VERB
ablatif,ADJ
ablatif,NOUN
ablation,NOUN
ablatir,VERB
able,NOUN
ablégat,NOUN
ableret,NOUN
ablette,NOUN
ablier,NOUN
abloc,NOUN
ablocage,NOUN
abloqué,ADJ
abloquer,VERB
abloquir,VERB
abluer,VERB
ablutiomanie,NOUN
ablution,NOUN
ablutionner,VERB
abnégation,NOUN
aboi,NOUN
aboiement,NOUN
aboiteau,NOUN
aboli,ADJ
abolir,VERB
abolissement,NOUN
abolisseur,NOUN
abolitif,ADJ
abolition,NOUN
abolitionnisme,NOUN
abolitionniste,ADJ
abolitionniste,NOUN
abomber,VERB
abominable,ADJ
abominablement,ADV
abomination,NOUN
abominé,ADJ
abominer,VERB
abondamment,ADV
abondance,NOUN
abondanciste,ADJ
abondanciste,NOUN
abondant,ADJ
abondé,ADJ
abondement,NOUN
abonder,VERB
abonné,ADJ
abonné,NOUN
abonnement,NOUN
abonner,VERB
abonni,ADJ
abonnir,VERB
abonnissement,NOUN
aboral,ADJ
abord,NOUN
abordable,ADJ
abordage,NOUN
abordé,ADJ
aborder,VERB
abordeur,NOUN
aborigène,ADJ
aborigène,NOUN
aborné,ADJ
abornement,NOUN
aborner,VERB
abortif,ADJ
abortif,NOUN
abot,NOUN
aboté,ADJ
aboteau,NOUN
aboter,VERB
abotté,ADJ
abotter,VERB
abouché,ADJ
abouchement,NOUN
aboucher,VERB
abougri,ADJ
abougrir,VERB
aboulé,ADJ
abouler,VERB
aboulie,NOUN
aboulique,ADJ
aboulique,NOUN
abouquer,VERB
about,NOUN
aboutage,NOUN
abouté,ADJ
aboutement,NOUN
abouter,VERB
abouteuse,NOUN
abouti,ADJ
aboutir,VERB
aboutissant,NOUN
aboutissement,NOUN
aboutonner,VERB
aboyant,ADJ
aboyé,ADJ
aboyer,VERB
aboyeur,ADJ
aboyeur,NOUN
abracadabra,NOUN
abracadabrant,ADJ
abracadabrantesque,ADJ
abracadabrer,VERB
abrahamique,ADJ
abraquer,VERB
abrasé,ADJ
abrasement,NOUN
abraser,VERB
abrasif,ADJ
abrasif,NOUN
abrasion,NOUN
abrasivité,NOUN
abraxas,NOUN
abréaction,NOUN
abréagi,ADJ
abréagir,VERB
abrégé,ADJ
abrégé,NOUN
abrégement,NOUN
abrègement,NOUN
abréger,VERB
abreuvage,NOUN
abreuvé,ADJ
abreuvement,NOUN
abreuver,VERB
abreuvoir,NOUN
abréviateur,ADJ
abréviatif,ADJ
abréviatif,NOUN
abréviation,NOUN
abréviativement,ADV
abrévié,ADJ
abrévier,VERB
abreyer,VERB
abri,NOUN
abri-sous-roche,NOUN
abribus,NOUN
abricot,ADJ
abricot,NOUN
abricoté,ADJ
abricoter,VERB
abricotier,NOUN
abricotine,NOUN
abrier,VERB
abriller,VERB
abris-sous-roche,NOUN
abrité,ADJ
abriter,VERB
abrivent,NOUN
abriver,VERB
abrogatif,ADJ
abrogation,NOUN
abrogatoire,ADJ
abrogé,ADJ
abrogeable,ADJ
abroger,VERB
abrouti,ADJ
abroutir,VERB
abroutissement,NOUN
abrupt,ADJ
abruptement,ADV
abrupto,ADV
abruti,ADJ
abruti,NOUN
abrutir,VERB
abrutissant,ADJ
abrutissement,NOUN
abrutisseur,ADJ
abrutisseur,NOUN
abscisse,NOUN
abscission,NOUN
abscissique,ADJ
absconder,VERB
abscondre,VERB
abscons,ADJ
absconser,VERB
absence,NOUN
absent,ADJ
absent,NOUN
absenté,ADJ
absentéisme,NOUN
absentéiste,ADJ
absentéiste,NOUN
absenter,VERB
absidal,ADJ
abside,NOUN
absidial,ADJ
absidiole,NOUN
absinthe,NOUN
absinthine,NOUN
absinthisme,NOUN
absolu,ADJ
absolu,NOUN
absoluité,NOUN
absolument,ADV
absolutif,ADJ
absolutif,NOUN
absolution,NOUN
absolutisation,NOUN
absolutisé,ADJ
absolutiser,VERB
absolutisme,NOUN
absolutiste,ADJ
absolutiste,NOUN
