GRAPH;CAT;ORTH;FREQ
# jusqu’à;PREP;;
# Monsieur (frère du roi);;;
# TITULATURES;;;
à bas de;PREP;;
à bon droit;ADV;;
à bord;ADV;;
à bord de;PREP;;
à bord du;PREP;à bord de;
à bout de;PREP;;
à bout de force;ADJ;;
à brûle-pourpoint;ADV;;
a capella;ADV;;
a cappella;ADV;;
à cause de;PREP;;
à cet égard;PREP;;
à chaque fois;ADV;;
à chaque fois que;CONJsubord;;
à cloche-pied;ADV;;
à compter de;PREP;;
à condition de;PREP;;
a contrario;ADV;;
à côté de;PREP;;
à coup de;PREP;;
à coup sûr;ADV;;
à défaut de;PREP;;
à dessein de;PREP;;
à destination de;PREP;;
à fin de;PREP;;
à fond;ADV;;
à fond;ADV;;
à force de;PREP;;
a fortiori;ADV;;
à fortiori;ADV;;
a giorno;ADV;;
à giorno;ADV;;
à glagla;ADV;;
à grand renfort de;PREP;;
à haute voix;ADV;;
à jeun;ADV;;
à jeun;ADV;;
à l'autre bout de;PREP;;
à l'aveuglette;ADV;;
à l'aveuglette;ADV;;
à l'encan;ADV;;
à l'encan;ADV;;
à l'envi;ADV;;
à l'envi;ADV;;
à l'improviste;ADV;;
à l'improviste;ADV;;
à l'instant même;ADV;;
à l’adresse de;PREP;;
à l’aide de;PREP;;
à l’appui de;PREP;;
à l’aulne de;PREP;;
à l’aune de;PREP;;
à l’avenant;PREP;;
à l’effet de;PREP;;
à l’égal de;PREP;;
à l’égard de;PREP;;
à l’encontre;PREP;;
à l’endroit de;PREP;;
à l’entour de;PREP;;
à l’épreuve de;PREP;;
à l’exemple de;PREP;;
à l’extérieur de;PREP;;
à l’imitation de;PREP;;
à l’instant;ADV;;
à l’instar de;PREP;;
à l’intérieur de;PREP;;
à l’ombre de;PREP;;
à l’opposé de;PREP;;
à l’unisson;PREP;;
à la condition de;PREP;;
à la fois;ADV;;
à la longue;ADV;;
à la lumière d’;PREP;;
à la lumière de;PREP;;
à la lumière des;PREP;;
à la lumière du;PREP;;
à la manière d’;PREP;;
à la manière de;PREP;;
à la manière des;PREP;;
à la mémoire de;PREP;;
à la place de;PREP;;
à la réserve de;PREP;;
à la saint-glinglin;ADV;;
à la sortie de;PREP;;
à la suite de;PREP;;
à la vue de;PREP;;
à la zeub;PREP;;
à leur encontre;ADV;;
à lurelure;ADV;;
à mon encontre;ADV;;
à notre encontre;ADV;;
à NUM fois;ADV;;
à part;PREP;;
à part ça;PREP;;
à partir de;PREP;;
à partir de là;PREP;;
à peine de;PREP;;
à perte de vue;ADV;;
à peu près;ADV;;
a posteriori;ADV;;
à posteriori;ADV;;
à présent;ADV;;
a priori;ADV;;
a priori;SUB;;
à priori;ADV;;
à propos de;PREP;;
à quoi bon;ADVinter;;
à raison de;PREP;;
à ras;ADJ;;
à ras bord;ADV;;
à rebours;ADV;;
à rebours de;PREP;;
à rebrousse-poil;ADV;;
à son encontre;ADV;;
à tâtons;ADV;;
à terme;PREP;;
à tire-larigot;ADV;;
à titre de;PREP;;
à ton encontre;ADV;;
à touche-touche;ADV;;
à travers;PREP;;
à tue-tête;ADV;;
à valeurs dans;PREP;;
à voir;PREP;;
à voix basse;ADV;;
à voix haute;ADV;;
à votre encontre;ADV;;
à vrai dire;ADV;;
académie des sciences;SUB;Académie des Sciences;
Académie des Sciences;SUB;;
académie des sciences morales;SUB;Académie des Sciences morales et politiques;
Académie des Sciences morales;SUB;;
académie des sciences morales et politiques;SUB;Académie des Sciences morales et politiques;
Académie des Sciences morales et politiques;SUB;;
acid jazz;SUB;;
acte sexuel;SUB;;
actes sexuels;SUB;acte sexuel;
action painting;SUB;;
ad hoc;ADJ;;
administrateur général;SUB;;
affaires étrangères;SUB;;
afin d;PREP;;
afin d';PREP;;
afin de;PREP;;
afin de;PREP;;
afin qu;CONJsubord;;
afin que;CONJsubord;;
after shave;SUB;;
agent de change;SUB;;
agents de change;SUB;;
agnus dei;SUB;;
aide de camp;SUB;;
air bag;SUB;;
aller aller;EXCL;;
aller droit;VERB;;
allez allez;EXCL;;
allons allons;EXCL;;
alors que;CONJcoord;;
alter ego;SUB;;
Altesse;NAMEpers;;
Altesse Royale;NAMEpers;;
amour propre;SUB;;
appareil photo;SUB;;
après que;CONJsubord;;
argent de poche;SUB;;
arrêt maladie;SUB;;
arrière-train;SUB;;
assemblée générale;SUB;;
au bas;ADV;;
au bas d';PREP;au bas de;
au bas de;PREP;;
au bas du;PREP;au bas de;
au beau milieu de;PREP;;
au bord d';PREP;au bord de;
au bord de;PREP;;
au bord des;PREP;au bord de;
au bord du;PREP;au bord de;
au bout d';PREP;au bout de;
au bout de;PREP;;
au bout des;PREP;au bout de;
au bout du;PREP;au bout de;
au cas où;CONJsubord;;
au contraire de;PREP;;
au delà;ADV;;
au détriment de;PREP;;
au droit de;PREP;;
au lieu et place de;PREP;;
au milieu d';PREP;au milieu de;
au milieu de;PREP;;
au milieu des;PREP;au milieu de;
au milieu du;PREP;au milieu de;
au moins;ADV;;
au moment de;PREP;;
au moment où;PREP;;
au moyen de;PREP;;
au niveau de;PREP;;
au nom d’;PREP;;
au nom de;PREP;;
au nom du;PREP;;
au préjudice de;PREP;;
au prétexte de;PREP;;
