ENTITY,CHARACTER
&AElig; Æ
&198; Æ
&xc6; Æ
&x00c6; Æ
&Aacute; Á
&193; Á
&xc1; Á
&x00c1; Á
&Abreve; Ă
&258; Ă
&x0102; Ă
&Acirc; Â
&194; Â
&xc2; Â
&x00c2; Â
&Acy; А
&1040; А
&x0410; А
&Afr; 𝔄
&120068; 𝔄
&x1d504; 𝔄
&Agrave; À
&192; À
&xc0; À
&x00c0; À
&Alpha; Α
&913; Α
&x0391; Α
&Amacr; Ā
&256; Ā
&x0100; Ā
&And; ⩓
&10835; ⩓
&x2a53; ⩓
&Aogon; Ą
&260; Ą
&x0104; Ą
&Aopf; 𝔸
&120120; 𝔸
&x1d538; 𝔸
&ApplyFunction; ⁡
&8289; ⁡
&x2061; ⁡
&Aring; Å
&197; Å
&xc5; Å
&x00c5; Å
&Ascr; 𝒜
&119964; 𝒜
&x1d49c; 𝒜
&Assign; ≔
&8788; ≔
&x2254; ≔
&Atilde; Ã
&195; Ã
&xc3; Ã
&x00c3; Ã
&Auml; Ä
&196; Ä
&xc4; Ä
&x00c4; Ä
&Backslash; ∖
&8726; ∖
&x2216; ∖
&Barv; ⫧
&10983; ⫧
&x2ae7; ⫧
&Barwed; ⌆
&8966; ⌆
&x2306; ⌆
&Bcy; Б
&1041; Б
&x0411; Б
&Because; ∵
&8757; ∵
&x2235; ∵
&Bernoullis; ℬ
&8492; ℬ
&x212c; ℬ
&Beta; Β
&914; Β
&x0392; Β
&Bfr; 𝔅
&120069; 𝔅
&x1d505; 𝔅
&Bopf; 𝔹
&120121; 𝔹
&x1d539; 𝔹
&Breve; ˘
&728; ˘
&x02d8; ˘
&Bscr; ℬ
&8492; ℬ
&x212c; ℬ
&Bumpeq; ≎
&8782; ≎
&x224e; ≎
&CHcy; Ч
&1063; Ч
&x0427; Ч
&COPY; ©
&169; ©
&xa9; ©
&x00a9; ©
&Cacute; Ć
&262; Ć
&x0106; Ć
&Cap; ⋒
&8914; ⋒
&x22d2; ⋒
&CapitalDifferentialD; ⅅ
&8517; ⅅ
&x2145; ⅅ
&Cayleys; ℭ
&8493; ℭ
&x212d; ℭ
&Ccaron; Č
&268; Č
&x010c; Č
&Ccedil; Ç
&199; Ç
&xc7; Ç
&x00c7; Ç
&Ccirc; Ĉ
&264; Ĉ
&x0108; Ĉ
&Cconint; ∰
&8752; ∰
&x2230; ∰
&Cdot; Ċ
&266; Ċ
&x010a; Ċ
&Cedilla; ¸
&184; ¸
&xb8; ¸
&x00b8; ¸
&CenterDot; ·
&183; ·
&xb7; ·
&x00b7; ·
&Cfr; ℭ
&8493; ℭ
&x212d; ℭ
&Chi; Χ
&935; Χ
&x03a7; Χ
&CircleDot; ⊙
&8857; ⊙
&x2299; ⊙
&CircleMinus; ⊖
&8854; ⊖
&x2296; ⊖
&CirclePlus; ⊕
&8853; ⊕
&x2295; ⊕
&CircleTimes; ⊗
&8855; ⊗
&x2297; ⊗
&ClockwiseContourIntegral; ∲
&8754; ∲
&x2232; ∲
&CloseCurlyDoubleQuote; ”
&8221; ”
&x201d; ”
&CloseCurlyQuote; ’
&8217; ’
&x2019; ’
