la,le
les,le
l',le
l,le
d',de
d,de
j',je
j,je
des,un
une,un
est,être
s',se
s,se
n',ne
n,ne
était,être
m',me
m,me
avait,avoir
qu',que
c',ce
c,ce
a,avoir
dit,dire
ai,avoir
fait,faire
sont,être
yeux,oeil
étaient,être
été,être
t',te
t,te
va,aller
faut,falloir
étais,être
sais,savoir
ans,an
toute,tout
suis,suivre
avais,avoir
ont,avoir
hommes,homme
toutes,tout
faisait,faire
avaient,avoir
jours,jour
peut,pouvoir
petite,petit
aurait,avoir
heures,heure
dis,dire
fit,faire
fut,être
pouvait,pouvoir
mains,main
eu,avoir
serait,être
vu,voir
cœur,coeur
grande,grand
veux,vouloir
allait,aller
choses,chose
disait,dire
pu,pouvoir
enfants,enfant
es,être
pris,prendre
seule,seul
femmes,femme
fallait,falloir
crois,croire
devait,devoir
première,premier
bonne,bon
as,avoir
mots,mot
vais,aller
venait,venir
demanda,demander
cheveux,cheveu
semblait,sembler
aime,aimer
vois,voir
êtes,être
eut,avoir
années,année
mis,mettre
peux,pouvoir
sait,savoir
petits,petit
dû,devoir
soit,être
pieds,pied
savait,savoir
aurais,avoir
sommes,être
sera,être
voulait,vouloir
doit,devoir
fais,faire
belle,beau
veut,vouloir
demande,demander
avez,avoir
vient,venir
regarde,regarder
eût,avoir
grands,grand
lèvres,lèvre
coups,coup
avons,avoir
passe,passer
mit,mettre
vieille,vieux
voyait,voir
tenait,tenir
pense,penser
eh,hé
doigts,doigt
filles,fille
voulu,vouloir
épaules,épaule
jambes,jambe
sentait,sentir
parle,parler
prit,prendre
arrive,arriver
trouve,trouver
regardait,regarder
pourrait,pouvoir
voit,voir
aujourd’,aujourd'hui
aujourd',aujourd'hui
aujourd,aujourd'hui
aujourd’hui,aujourd'hui
passé,passer
parlait,parler
allez,aller
fût,être
semble,sembler
reste,rester
font,faire
restait,rester
petites,petit
importe,importer
assis,asseoir
donne,donner
fini,finir
trouvait,trouver
regarda,regarder
donné,donner
ayant,avoir
dernière,dernier
murs,mur
blanche,blanc
amis,ami
laisse,laisser
arbres,arbre
noire,noir
minutes,minute
pleine,plein
parents,parent
longue,long
étions,être
compris,comprendre
jeunes,jeune
vas,aller
tandis,tandis que
tandis qu’,tandis que
tandis qu',tandis que
trouvé,trouver
venu,venir
livres,livre
savez,savoir
appelle,appeler
savais,savoir
puisqu’,puisque
puisqu',puisque
puisqu,puisque
passait,passer
allons,aller
prend,prendre
demandé,demander
aimait,aimer
attendait,attendre
viens,venir
grandes,grand
forces,force
leva,lever
faisaient,faire
donnait,donner
entendu,entendre
larmes,larme
fleurs,fleur
paraissait,paraître
faisant,faire
parlé,parler
laissé,laisser
vont,aller
sœur,soeur
lettres,lettre
perdu,perdre
dents,dent
prenait,prendre
paraît,paraître
portait,porter
maisons,maison
voulez,vouloir
rues,rue
pouvais,pouvoir
vit,voir
faudrait,falloir
connais,connaître
pensait,penser
mètres,mètre
voulais,vouloir
répondit,répondre
française,français
arrivait,arriver
appelait,appeler
genoux,genou
comprends,comprendre
affaires,affaire
dois,devoir
ait,avoir
gestes,geste
mêmes,même
arrivé,arriver
appris,apprendre
pensé,penser
tient,tenir
paroles,parole
reprit,reprendre
questions,question
sourit,sourire
devenu,devenir
écrit,écrire
noirs,noir
faites,faire
arrêta,arrêter
voudrais,vouloir
feuilles,feuille
étant,être
allais,aller
cru,croire
oreilles,oreille
connaissait,connaître
souvenirs,souvenir
voyais,voir
vint,venir
haute,haut
seuls,seul
longues,long
idées,idée
sortit,sortir
met,mettre
ouvrit,ouvrir
dirait,dire
grosse,gros
semaines,semaine
arrête,arrêter
ajouta,ajouter
sent,sentir
sentais,sentir
connu,connaître
cris,cri
voyez,voir
écoute,écouter
laissait,laisser
pièces,pièce
soldats,soldat
passa,passer
commence,commencer
tiens !,tiens
vacances,vacance
disant,dire
avions,avoir
allaient,aller
fenêtres,fenêtre
portes,porte
agissait,agir
oublié,oublier
entendait,entendre
ouvre,ouvrir
couleurs,couleur
entends,entendre
pensa,penser
francs,franc
rouges,rouge
premiers,premier
lève,lever
su,savoir
vraie,vrai
dites,dire
ferait,faire
devenait,devenir
