graph,cat,orth,freq
à brûle-pourpoint,ADV,,,1.22
a capella,ADV,,0.07
a cappella,ADV,,0.07
à cloche-pied,ADV,,1.35
a contrario,ADV,,0.27
à cropetons,ADV,,0.07
à croupetons,ADV,,0.95
à fond,ADV
a fortiori,ADV,,0.88
à fortiori,ADV,,0.2
a giorno,ADV,,0.27
à giorno,ADV,,0.07
à glagla,ADV,,0.07
à jeun,ADV,,3.85
à jeun,ADV,,0
à le aveuglette,ADV,à l’aveuglette,2.16
à le encontre,PREP,à l’encontre,1.89
à le envi,ADV,à l’envi,0.61
à le improviste,ADV,à l’improviste,4.53
à le instar,PREP,à l’instar,6.42
à l'encan,ADV,,0.14
à le aveuglette,ADV,à l’aveuglette,2.16
à le encontre,PREP,à l’encontre,1.89
à le envi,ADV,à l’envi,0.61
à le improviste,ADV,à l’improviste,4.53
à le instar,PREP,à l’instar,6.42
à l’encan,ADV,,0.14
à la daumont,ADV,,0.07
à la saint-glinglin,ADV,,0
à leur encontre,ADV,,0.07
à lurelure,ADV,,0.2
à mon encontre,ADV,,0.14
à notre encontre,ADV,,0.07
a posteriori,ADV,,0.14
à posteriori,ADV,,0.07
a priori,ADV,,2.57
a priori,SUB,,0.47
à priori,ADV,,1.28
à rebrousse-poil,ADV,,0.81
à son encontre,ADV,,0.2
à tâtons,ADV,,8.78
à tire-larigot,ADV,,0.14
à ton encontre,ADV,,0
à touche-touche,ADV,,0.14
à tue-tête,ADV,,3.72
à votre encontre,ADV,,0
ab absurdo,ADV,,0.07
ab initio,ADV,,0.07
ab ovo,ADV,,0.27
acid jazz,SUB,,0
action painting,SUB,,0.07
ad hoc,ADJ,,0.81
ad infinitum,ADV,,0
ad libitum,ADV,,0.14
ad limina,ADV,,0.07
ad majorem dei gloriam,ADV,,0.14
ad nutum,ADV,,0.07
ad patres,ADV,,0.27
ad vitam aeternam,ADV,,0.2
afin d,PREP,,0.07
afin de,PREP,,43.18
afin qu,CONJsubord,,0
afin que,CONJsubord,,14.93
after shave,SUB,,0.07
agnus dei,SUB,,0.14
air bag,SUB,,0
al dente,ADV,,0.14
alea jacta est,ADV,,0.07
alerte !,EXCL,,0.81
all right,ADV,,0.2
alléluia !,EXCL,,0.41
alter ego,SUB,,0.54
am stram gram,EXCL,,0.14
après que,CONJsubord,,0
arrière !,EXCL,,0.14
attention !,EXCL,,21.35
aux aguets,ADV,,5.88
ayants droit,SUB,,0.14
back up,SUB,,0
bataille de NAME,NAMEevent
beat generation,SUB,,0.14
bel canto,SUB,,0.41
belle lurette,SUB,,2.64
best of,SUB,,0
big band,SUB,,0
big bang,SUB,,1.62
birth control,SUB,,0.14
bla bla,SUB,,0
bloody mary,SUB,,0.2
blue jeans,SUB,,0
blue note,SUB,,0
boat people,SUB,,0.07
bric et de broc,ADV,,0.47
brown sugar,SUB,,0.07
bubble gum,SUB,,0
buen retiro,SUB,,0.14
by night,ADJ,,0.41
ce est-à-dire,ADV,c’est-à-dire,51.96
call girl,SUB,,0
call girls,SUB,,0
canadian river,SUB,,0.07
caput mortuum,SUB,,0.07
casus belli,SUB,,0
cependant que,CONJsubord,,13.51
champs élysées,SUB,,0.14
check up,SUB,,0
chewing gum,SUB,,0.07
chop suey,SUB,,0
citizen band,SUB,,0
coffee shop,SUB,,0
collège de France,NAMEplace
comic book,SUB,,0
comic books,SUB,,0.07
comte NAME,NAMEpers
comte de NAME,NAMEpers
comtesse NAME,NAMEpers
comtesse de NAME,NAMEpers
commedia dell'arte,SUB,,0.14
commedia dell’arte,SUB,,0.14
corn flakes,SUB,,0.07
corpus delicti,SUB,,0
cot cot codec,EXCL,,0.07
croa croa,ADV,,0.14
curriculum vitae,SUB,,0.74
dans la merde,ADJ,
dare dare,ADV,,0.27
de abord,ADVtemp,d’abord,169.32
