–,—
accroche-coeur,accroche-cœur
accroche-coeurs,accroche-cœurs
âme-soeur,âme-sœur
ann.,annexe
arrête-boeuf,arrête-bœuf
belle-soeur,belle-sœur
belles-soeurs,belles-sœurs
boeuf,bœuf
boeuf,bœuf
boeufs,bœufs
c.-à-d.,c’est à dire
c',ce
c’,ce
chef-d'oeuvre,chef-d'œuvre
chef-d'oeuvres,chef-d'œuvres
chef-d’oeuvre,chef-d’œuvre
chefs-d'oeuvre,chefs-d'œuvre
choeur,chœur
choeurs,chœurs
choeurs,chœurs
Christ,Jésus-Christ
clin-d'oeil,clin-d'œil
coeur,cœur
coeur-poumons,cœur-poumons
coeurs,cœurs
consoeur,consœur
consoeurs,consœurs
contrecoeur,contrecœur
d',de
d’,de
demi-soeur,demi-sœur
désoeuvre,désœuvre
désoeuvré,désœuvré
désoeuvré,désœuvré
désoeuvré,désœuvré
désoeuvrée,désœuvrée
désoeuvrée,désœuvrée
désoeuvrée,désœuvrée
désoeuvrées,désœuvrées
désoeuvrées,désœuvrées
désoeuvrées,désœuvrées
désoeuvrement,désœuvrement
désoeuvrements,désœuvrements
désoeuvrés,désœuvrés
désoeuvrés,désœuvrés
désoeuvrés,désœuvrés
écoeura,écœura
écoeuraient,écœuraient
écoeurais,écœurais
écoeurait,écœurait
écoeurant,écœurant
écoeurant,écœurant
écoeurante,écœurante
écoeurantes,écœurantes
écoeurants,écœurants
écoeure,écœure
écoeuré,écœuré
écoeuré,écœuré
écoeurée,écœurée
écoeurée,écœurée
écoeurées,écœurées
écoeurement,écœurement
écoeurements,écœurements
écoeurent,écœurent
écoeurer,écœurer
écoeurerais,écœurerais
écoeurèrent,écœurèrent
écoeurés,écœurés
écoeurés,écœurés
écoeurez,écœurez
encor,encore
foetal,fœtal
foetales,fœtales
foetaux,fœtaux
haut-le-coeur,haut-le-cœur
hors-d'oeuvre,hors-d'œuvre
j',je
j’,je
Jésus,Jésus-Christ
J.-C.,Jésus-Christ
joli-coeur,joli-cœur
joli-coeur,joli-cœur
jusqu',jusque
jusqu’,jusque
l',le
l’,le
lorsqu',lorsque
lorsqu’,lorsque
M.,monsieur
m.,monsieur
m',me
m’,me
main-d'oeuvre,main-d'œuvre
manoeuvra,manœuvra
manoeuvrabilité,manœuvrabilité
manoeuvrable,manœuvrable
manoeuvraient,manœuvraient
manoeuvrais,manœuvrais
manoeuvrait,manœuvrait
manoeuvrant,manœuvrant
manoeuvre,manœuvre
manoeuvre,manœuvre
manoeuvré,manœuvré
manoeuvrée,manœuvrée
manoeuvrées,manœuvrées
manoeuvrent,manœuvrent
manoeuvrer,manœuvrer
manoeuvrèrent,manœuvrèrent
manoeuvres,manœuvres
manoeuvres,manœuvres
manoeuvrés,manœuvrés
manoeuvrez,manœuvrez
manoeuvrier,manœuvrier
manoeuvrière,manœuvrière
manoeuvrière,manœuvrière
manoeuvrières,manœuvrières
manoeuvriers,manœuvriers
manoeuvrons,manœuvrons
Mlle,mademoiselle
mlle,mademoiselle
Mme,madame
mme,madame
moeur,mœur
moeurs,mœurs
n',ne
n’,ne
noeud,nœud
noeuds,nœuds
oecuménique,œcuménique
oecuméniques,œcuméniques
oecuménisme,œcuménisme
oedémateuse,œdémateuse
oedème,œdème
oedèmes,œdèmes
oedipe,œdipe
oedipien,œdipien
oedipienne,œdipienne
oeil,œil
œil-de-boeuf,œil-de-bœuf
oeillade,œillade
oeillades,œillades
oeillère,œillère
oeillères,œillères
oeillet,œillet
oeilleton,œilleton
oeilletons,œilletons
oeillets,œillets
oeillette,œillette
oeils,œils
œils-de-boeuf,œils-de-bœuf
oeils-de-perdrix,œils-de-perdrix
oenologie,œnologie
oenologique,œnologique
oenologues,œnologues
oenophile,œnophile
oenothère,œnothère
oesophage,œsophage
oesophages,œsophages
oesophagien,œsophagien
oesophagienne,œsophagienne
oesophagiennes,œsophagiennes
oestrogène,œstrogène
oestrogène,œstrogène
oestrogènes,œstrogènes
oestrogènes,œstrogènes
oeuf,œuf
oeufs,œufs
oeuvraient,œuvraient
oeuvrait,œuvrait
oeuvrant,œuvrant
oeuvre,œuvre
oeuvre,œuvre
oeuvré,œuvré
oeuvrent,œuvrent
oeuvrer,œuvrer
oeuvrera,œuvrera
oeuvres,œuvres
oeuvres,œuvres
oeuvrette,œuvrette
oeuvrettes,œuvrettes
oeuvrez,œuvrez
oeuvrions,œuvrions
parce qu',parce que
parce qu’,parce que
phoenix,phœnix
pied-d'oeuvre,pied-d'œuvre
pique-boeufs,pique-bœufs
puisqu',puisque
puisqu’,puisque
qu',que
qu’,que
rancoeur,rancœur
rancoeurs,rancœurs
s',se
s’,se
Shakspeare,Shakespeare
sacré-coeur,sacré-cœur
sans-coeur,sans-cœur
soeur,sœur
soeurette,sœurette
soeurs,sœurs
t',te
t’,te
tape-à-l'oeil,tape-à-l'œil
tape-à-l'oeil,tape-à-l'œil
trompe-l'oeil,trompe-l'œil
voeu,vœu
voeux,vœux
