avecque,avec
de,de
la,le
et,et
à,à
le,le
il,il
les,le
un,un
l',le
l,le
d',de
d,de
j',je
j,je
je,je
des,un
une,un
pas,pas
en,en
dans,dans
est,être
qui,qui
ne,ne
elle,elle
du,du
s',se
s,se
se,se
pour,pour
n',ne
n,ne
au,au
sur,sur
était,être
plus,plus
on,on
son,son
mais,mais
m',me
m,me
me,me
lui,lui
avec,avec
nous,nous
sa,sa
par,par
vous,vous
comme,comme
avait,avoir
ses,ses
y,y
qu',que
que,que
c',ce
c,ce
ce,ce
a,avoir
ils,ils
dit,dire
tu,tu
bien,bien
ça,ça
ou,ou
cette,cette
mon,mon
sans,sans
ai,avoir
aux,aux
moi,moi
où,où
ma,ma
tout,tout
encore,encore
deux,deux
faire,faire
ces,ces
rien,rien
quand,quand
fait,faire
aussi,aussi
même,même
temps,temps
être,être
fois,fois
non,non
jamais,jamais
jamais,jamais
très,très
sont,être
toujours,toujours
là,là
alors,alors
sous,sous
peu,peu
mes,mes
vers,vers
yeux,oeil
si,si
étaient,être
dont,dont
tous,tous
leurs,leurs
tête,tête
été,être
homme,homme
puis,puis
vie,vie
entre,entre
dire,dire
jour,jour
après,après
trop,trop
main,main
t',te
t,te
te,te
cela,cela
mère,mère
quelques,quelques
monde,monde
moins,moins
voir,voir
père,père
déjà,déjà
autre,autre
peut-être,peut-être
chose,chose
va,aller
devant,devant
notre,notre
chez,chez
femme,femme
nuit,nuit
ni,ni
air,air
trois,trois
faut,falloir
petit,petit
avoir,avoir
coup,coup
oui,oui
étais,être
sais,savoir
voix,voix
moment,moment
ans,an
elles,elles
toute,tout
contre,contre
suis,suivre
nos,nos
avant,avant
avais,avoir
quelque,quelque
ont,avoir
hommes,homme
depuis,depuis
grand,grand
porte,porte
toutes,tout
soir,soir
faisait,faire
avaient,avoir
jours,jour
peut,pouvoir
eux,eux
cet,cet
côté,côté
maintenant,maintenant
petite,petit
aurait,avoir
visage,visage
bras,bras
chaque,chaque
heures,heure
ici,ici
corps,corps
seul,seul
dis,dire
fit,faire
ainsi,ainsi
car,car
presque,presque
fut,être
maison,maison
beaucoup,beaucoup
loin,loin
toi,toi
pendant,pendant
rue,rue
donc,donc
pouvait,pouvoir
mains,main
enfin,enfin
heure,heure
place,place
eu,avoir
tant,tant
jeune,jeune
votre,votre
terre,terre
assez,assez
eau,eau
fille,fille
leur,leur
gens,gens
mieux,mieux
seulement,seulement
serait,être
vu,voir
peine,peine
enfant,enfant
cœur,coeur
coeur,coeur
chambre,chambre
grande,grand
veux,vouloir
quoi,quoi
matin,matin
bon,bon
fond,fond
pourtant,pourtant
bout,bout
autres,autres
mort,mort
amour,amour
allait,aller
dieu,dieu
aller,aller
choses,chose
autour,autour
regard,regard
disait,dire
vite,vite
mal,mal
derrière,derrière
pu,pouvoir
ailleurs,ailleurs
tard,tard
prendre,prendre
enfants,enfant
sûr,sûr
parler,parler
doute,doute
table,table
guerre,guerre
longtemps,longtemps
es,être
pris,prendre
voilà,voilà
soleil,soleil
parce que,parce que
nom,nom
est-ce que,est-ce que
celui,celui
seule,seul
lit,lit
femmes,femme
silence,silence
personne,personne
vrai,vrai
ville,ville
fallait,falloir
ton,ton
ceux,ceux
peur,peur
part,part
crois,croire
mois,mois
fin,fin
ciel,ciel
celle,celle
bois,bois
devait,devoir
pourquoi,pourquoi
ah,ah
première,premier
bonne,bon
as,avoir
mots,mot
histoire,histoire
surtout,surtout
passer,passer
parfois,parfois
souvent,souvent
monsieur,monsieur
instant,instant
près,près
quatre,quatre
plutôt,plutôt
tour,tour
vais,aller
oeil,oeil
dès,dès
vraiment,vraiment
sorte,sorte
vieux,vieux
point,point
venait,venir
train,train
suite,suite
demanda,demander
beau,beau
bouche,bouche
quel,quel
cheveux,cheveu
face,face
semblait,sembler
mot,mot
façon,façon
aime,aimer
vois,voir
envie,envie
besoin,besoin
ta,ta
route,route
savoir,savoir
pied,pied
travers,travers
fils,fils
raison,raison
êtes,être
eut,avoir
milieu,milieu
mer,mer
années,année
mis,mettre
peux,pouvoir
sait,savoir
quelle,quelle
petits,petit
dû,devoir
soit,être
famille,famille
pays,pays
comment,comment
idée,idée
autant,autant
lumière,lumière
pieds,pied
premier,premier
savait,savoir
aurais,avoir
question,question
sommes,être
mettre,mettre
sera,être
voulait,vouloir
doit,devoir
fais,faire
travail,travail
général,général
belle,beau
bruit,bruit
voiture,voiture
cinq,cinq
force,force
sens,sens
cas,cas
donner,donner
gros,gros
dos,dos
lieu,lieu
fort,fort
veut,vouloir
dix,dix
l'un,l'un
plaisir,plaisir
demande,demander
vent,vent
soudain,soudain
lorsque,lorsque
avez,avoir
vient,venir
âge,âge
sang,sang
regarde,regarder
plusieurs,plusieurs
eût,avoir
lui-même,lui-même
grands,grand
lèvres,lèvre
feu,feu
fenêtre,fenêtre
madame,madame
salle,salle
chemin,chemin
bord,bord
possible,possible
oh,oh
sourire,sourire
coups,coup
venir,venir
rouge,rouge
argent,argent
pièce,pièce
trouver,trouver
laisser,laisser
état,état
malgré,malgré
ombre,ombre
nouveau,nouveau
avons,avoir
aussitôt,aussitôt
cause,cause
partie,partie
chacun,chacun
compte,compte
garçon,garçon
vivre,vivre
passe,passer
mit,mettre
noir,noir
vieille,vieux
esprit,esprit
laquelle,laquelle
voyait,voir
aucun,aucun
vos,vos
partout,partout
ordre,ordre
tenait,tenir
pense,penser
nez,nez
cours,cours
eh,hé
au-dessus,au-dessus
doigts,doigt
verre,verre
filles,fille
aucune,aucune
peau,peau
voulu,vouloir
effet,effet
mur,mur
chef,chef
chercher,chercher
geste,geste
parmi,parmi
épaules,épaule
jambes,jambe
sentait,sentir
long,long
bientôt,bientôt
d'abord,d'abord
ensuite,ensuite
parle,parler
tellement,tellement
croire,croire
partir,partir
coin,coin
prit,prendre
arrive,arriver
trouve,trouver
regarder,regarder
entendre,entendre
penser,penser
regardait,regarder
odeur,odeur
pourrait,pouvoir
debout,debout
voit,voir
aujourd’,aujourd'hui
aujourd',aujourd'hui
aujourd,aujourd'hui
aujourd’hui,aujourd'hui
aujourd'hui,aujourd'hui
plein,plein
passé,passer
parlait,parler
lentement,lentement
bonheur,bonheur
six,six
allez,aller
fût,être
genre,genre
café,café
vingt,vingt
semble,sembler
reste,rester
font,faire
retour,retour
restait,rester
front,front
petites,petit
blanc,blanc
livre,livre
importe,importer
affaire,affaire
cour,cour
rendre,rendre
assis,asseoir
propre,propre
donne,donner
fini,finir
trouvait,trouver
regarda,regarder
pauvre,pauvre
jardin,jardin
français,français
français,français
donné,donner
comprendre,comprendre
sol,sol
ayant,avoir
juste,juste
dernier,dernier
impression,impression
type,type
lendemain,lendemain
sortir,sortir
dernière,dernier
murs,mur
ensemble,ensemble
blanche,blanc
tes,tes
demander,demander
papier,papier
rire,rire
hôtel,hôtel
attendre,attendre
amis,ami
laisse,laisser
frère,frère
mille,mille
arbres,arbre
noire,noir
lettre,lettre
journée,journée
minutes,minute
maman,maman
ami,ami
cependant,cependant
pleine,plein
parents,parent
droit,droit
longue,long
forme,forme
étions,être
présent,présent
passage,passage
ventre,ventre
compris,comprendre
jeunes,jeune
vas,aller
tandis,tandis que
tandis qu’,tandis que
tandis qu',tandis que
tandis que,tandis que
vue,vue
trouvé,trouver
cent,cent
venu,venir
mouvement,mouvement
livres,livre
manière,manière
simplement,simplement
manger,manger
joie,joie
demain,demain
lequel,lequel
gauche,gauche
intérieur,intérieur
vérité,vérité
tomber,tomber
présence,présence
savez,savoir
époque,époque
appelle,appeler
savais,savoir
puisqu’,puisque
puisqu',puisque
puisqu,puisque
puisque,puisque
passait,passer
nouvelle,nouvelle
jeu,jeu
mourir,mourir
libre,libre
bureau,bureau
allons,aller
âme,âme
prend,prendre
année,année
quelqu'un,quelqu'un
demandé,demander
aimait,aimer
école,école
habitude,habitude
début,début
doucement,doucement
or,or
espèce,espèce
attendait,attendre
tenir,tenir
tôt,tôt
viens,venir
grandes,grand
forces,force
escalier,escalier
maître,maître
sac,sac
contraire,contraire
heureux,heureux
retrouver,retrouver
goût,goût
accord,accord
journal,journal
simple,simple
rester,rester
leva,lever
église,église
faisaient,faire
cuisine,cuisine
donnait,donner
entendu,entendre
larmes,larme
oncle,oncle
jouer,jouer
fleurs,fleur
haut,haut
bas,bas
gouvernement,gouvernement
d'autres,d'autres
attention,attention
pierre,pierre
image,image
signe,signe
exemple,exemple
hasard,hasard
couleur,couleur
telle,telle
mari,mari
paraissait,paraître
village,village
faisant,faire
parlé,parler
là-bas,là-bas
chien,chien
laissé,laisser
moindre,moindre
épaule,épaule
départ,départ
droite,droite
vont,aller
sœur,soeur
soeur,soeur
écrire,écrire
tel,tel
lettres,lettre
perdu,perdre
dents,dent
armée,armée
pouvoir,pouvoir
chance,chance
prenait,prendre
paraît,paraître
portait,porter
maisons,maison
entrée,entrée
voulez,vouloir
elle-même,elle-même
rues,rue
pouvais,pouvoir
avenir,avenir
vit,voir
cou,cou
chaleur,chaleur
mesure,mesure
sommeil,sommeil
robe,robe
semaine,semaine
pluie,pluie
faudrait,falloir
brusquement,brusquement
connais,connaître
tante,tante
selon,selon
guère,guère
voyage,voyage
cheval,cheval
musique,musique
entrer,entrer
pensait,penser
dehors,dehors
mauvais,mauvais
endroit,endroit
mètres,mètre
combien,combien
celles,celles
prix,prix
voulais,vouloir
répondit,répondre
moi-même,moi-même
souvenir,souvenir
sentiment,sentiment
service,service
propos,propos
fer,fer
dame,dame
mémoire,mémoire
française,français
arrivait,arriver
appelait,appeler
genoux,genou
langue,langue
paix,paix
lire,lire
oreille,oreille
comprends,comprendre
enfance,enfance
direction,direction
vide,vide
affaires,affaire
huit,huit
certain,certain
dois,devoir
poche,poche
foule,foule
certains,certains
ligne,ligne
difficile,difficile
bleu,bleu
boire,boire
gueule,gueule
marche,marche
vin,vin
tirer,tirer
poitrine,poitrine
ait,avoir
pain,pain
gestes,geste
mêmes,même
pensée,pensée
répondre,répondre
effort,effort
arrivé,arriver
davantage,davantage
perdre,perdre
appris,apprendre
pensé,penser
voici,voici
autrefois,autrefois
monter,monter
tient,tenir
désir,désir
situation,situation
paroles,parole
hiver,hiver
reprit,reprendre
questions,question
sourit,sourire
devenu,devenir
scène,scène
dormir,dormir
grand-père,grand-père
écrit,écrire
arriver,arriver
froid,froid
quinze,quinze
campagne,campagne
boîte,boîte
téléphone,téléphone
patron,patron
noirs,noir
existence,existence
sombre,sombre
l'une,l'une
nature,nature
auprès,auprès
liberté,liberté
faites,faire
arrêta,arrêter
souffle,souffle
colère,colère
hier,hier
hors,hors
exactement,exactement
voudrais,vouloir
occasion,occasion
forêt,forêt
grand-mère,grand-mère
confiance,confiance
feuilles,feuille
étant,être
clair,clair
allais,aller
compagnie,compagnie
cru,croire
chair,chair
espoir,espoir
côte,côte
classe,classe
oreilles,oreille
connaissait,connaître
cher,cher
souvenirs,souvenir
voyais,voir
arrière,arrière
connaître,connaître
impossible,impossible
quartier,quartier
garde,garde
peuple,peuple
sinon,sinon
poids,poids
vint,venir
facile,facile
ouvrir,ouvrir
rôle,rôle
hein,hein
désormais,désormais
capitaine,capitaine
gris,gris
haute,haut
évidemment,évidemment
sujet,sujet
sable,sable
dimanche,dimanche
honneur,honneur
beauté,beauté
seuls,seul
longues,long
immobile,immobile
veille,veille
idées,idée
